date,soc_ics,soc_ice,soc_icc
1951-02-01,,,67.700000000000003
1951-03-01,,,
1951-04-01,,,
1951-05-01,,,60.200000000000003
1951-06-01,,,
1951-07-01,,,
1951-08-01,,,
1951-09-01,,,
1951-10-01,,,
1951-11-01,,,63.600000000000001
1951-12-01,,,
1952-01-01,,,
1952-02-01,,,66.200000000000003
1952-03-01,,,
1952-04-01,,,
1952-05-01,,,70.400000000000006
1952-06-01,,,
1952-07-01,,,
1952-08-01,,,
1952-09-01,,,
1952-10-01,,,
1952-11-01,86.200000000000003,92.400000000000006,73.400000000000006
1952-12-01,,,
1953-01-01,,,
1953-02-01,90.700000000000003,95.5,78.700000000000003
1953-03-01,,,
1953-04-01,,,
1953-05-01,,,
1953-06-01,,,
1953-07-01,,,
1953-08-01,80.799999999999997,,
1953-09-01,,,
1953-10-01,,,
1953-11-01,80.700000000000003,83.900000000000006,73.400000000000006
1953-12-01,,,
1954-01-01,,,
1954-02-01,82,85.299999999999997,75.700000000000003
1954-03-01,,,
1954-04-01,,,
1954-05-01,82.900000000000006,86.099999999999994,81.400000000000006
1954-06-01,,,
1954-07-01,,,
1954-08-01,,,
1954-09-01,,,
1954-10-01,,,
1954-11-01,87,89.700000000000003,83.200000000000003
1954-12-01,,,
1955-01-01,,,
1955-02-01,95.900000000000006,,
1955-03-01,,,
1955-04-01,,,
1955-05-01,99.099999999999994,99.900000000000006,95
1955-06-01,,,
1955-07-01,,,
1955-08-01,,,
1955-09-01,,,
1955-10-01,,,
1955-11-01,99.700000000000003,103.8,94.599999999999994
1955-12-01,,,
1956-01-01,,,
1956-02-01,,,
1956-03-01,,,
1956-04-01,,,
1956-05-01,98.200000000000003,103.3,
1956-06-01,,,
1956-07-01,,,
1956-08-01,99.900000000000006,105.2,93.099999999999994
1956-09-01,,,
1956-10-01,,,
1956-11-01,100.2,105.2,94.200000000000003
1956-12-01,,,
1957-01-01,,,
1957-02-01,,,
1957-03-01,,,
1957-04-01,,,
1957-05-01,92.900000000000006,96.200000000000003,88.900000000000006
1957-06-01,,,
1957-07-01,,,
1957-08-01,,,
