horizon,period,model,n_test_rows,max_abs_error_y_hat,max_abs_error_full_coalition,pass
12,0,rf_cv,1,0.0,0.0,True
12,0,xgb_cv,1,0.0,0.0,True
12,0,nn_deep,1,0.0,0.0,True
12,0,nn_shallow,1,0.0,8.673617379884035e-19,True
12,0,enet,1,0.0,0.0,True
12,0,pca,1,8.673617379884035e-19,8.673617379884035e-19,True
12,208,rf_cv,1,0.0,0.0,True
12,208,xgb_cv,1,0.0,0.0,True
12,208,nn_deep,1,0.0,0.0,True
12,208,nn_shallow,1,0.0,0.0,True
12,208,enet,1,0.0,8.673617379884035e-19,True
12,208,pca,1,0.0,0.0,True
12,415,rf_cv,1,0.0,0.0,True
12,415,xgb_cv,1,0.0,0.0,True
12,415,nn_deep,1,0.0,0.0,True
12,415,nn_shallow,1,0.0,8.673617379884035e-19,True
12,415,enet,1,0.0,0.0,True
12,415,pca,1,0.0,2.168404344971009e-19,True
