horizon,model,predictor,structural_zero,source
1,rf_cv,fred_rpi,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_w875rx1,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_dpcera3m086sbea,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_cmrmtsplx,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_retailx,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_indpro,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_ipfpnss,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_ipfinal,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_ipcongd,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_ipdcongd,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_ipncongd,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_ipbuseq,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_ipmat,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_ipdmat,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_ipnmat,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_ipmansics,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_ipb51222s,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_ipfuels,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_cumfns,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_hwi,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_hwiuratio,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_clf16ov,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_ce16ov,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_unrate,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_uempmean,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_uemplt5,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_uemp5to14,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_uemp15ov,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_uemp15t26,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_uemp27ov,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_claimsx,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_payems,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_usgood,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_ces1021000001,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_uscons,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_manemp,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_dmanemp,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_ndmanemp,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_srvprd,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_ustpu,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_uswtrade,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_ustrade,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_usfire,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_usgovt,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_ces0600000007,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_awotman,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_awhman,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_houst,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_houstne,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_houstmw,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_housts,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_houstw,False,all_retained_no_direct_invariance_evidence
1,rf_cv,fred_permit,False,all_retained_no_direct_invariance_evidence
