comparison_label,model_label,1,3,6,12
Current: IS Shapley VI vs OOS GPBSV,PCA,0.558***,0.546***,0.455*,0.530***
Current: IS Shapley VI vs OOS GPBSV,ENet,0.546**,0.324,0.559**,0.368
Current: IS Shapley VI vs OOS GPBSV,RF,0.860***,0.608***,0.719***,0.894***
Current: IS Shapley VI vs OOS GPBSV,XGBoost,0.499**,0.266,0.290,0.474**
Current: IS Shapley VI vs OOS GPBSV,Neural net,0.570***,0.553***,0.310,0.480**
Current: IS Shapley VI vs OOS GPBSV,Linear combination,0.649***,0.546***,0.553**,0.522**
Current: IS Shapley VI vs OOS GPBSV,Nonlinear combination,0.667***,0.583***,0.416,0.634***
Current: IS Shapley VI vs OOS GPBSV,All models combination,0.709***,0.604***,0.484**,0.675***
Check 1: IS Shapley VI vs OOS Shapley VI,PCA,0.958***,0.946***,0.955***,0.969***
Check 1: IS Shapley VI vs OOS Shapley VI,ENet,0.991***,0.994***,0.994***,0.997***
Check 1: IS Shapley VI vs OOS Shapley VI,RF,0.983***,0.966***,0.985***,0.992***
Check 1: IS Shapley VI vs OOS Shapley VI,XGBoost,0.968***,0.953***,0.979***,0.990***
Check 1: IS Shapley VI vs OOS Shapley VI,Neural net,0.952***,0.974***,0.963***,0.971***
Check 1: IS Shapley VI vs OOS Shapley VI,Linear combination,0.972***,0.977***,0.980***,0.985***
Check 1: IS Shapley VI vs OOS Shapley VI,Nonlinear combination,0.959***,0.968***,0.973***,0.982***
Check 1: IS Shapley VI vs OOS Shapley VI,All models combination,0.952***,0.975***,0.979***,0.986***
Check 2: OOS Shapley VI vs OOS GPBSV,PCA,0.544***,0.552***,0.462*,0.524***
Check 2: OOS Shapley VI vs OOS GPBSV,ENet,0.526**,0.302,0.576**,0.398
Check 2: OOS Shapley VI vs OOS GPBSV,RF,0.861***,0.554***,0.653***,0.896***
Check 2: OOS Shapley VI vs OOS GPBSV,XGBoost,0.461*,0.226,0.238,0.449*
Check 2: OOS Shapley VI vs OOS GPBSV,Neural net,0.569***,0.551***,0.278,0.472**
Check 2: OOS Shapley VI vs OOS GPBSV,Linear combination,0.660***,0.557***,0.563***,0.547***
Check 2: OOS Shapley VI vs OOS GPBSV,Nonlinear combination,0.666***,0.574***,0.380,0.623***
Check 2: OOS Shapley VI vs OOS GPBSV,All models combination,0.719***,0.603***,0.461*,0.668***
