horizon,model,model_label,comparison,comparison_label,weighting_source,null_type,mas,p_value,msdr,expected_msdr,null_alpha,n_sims,seed,n_predictors,n_good_gpbsv,n_bad_gpbsv,n_dropped_base,n_dropped_zero_weight,n_dropped_missing
1,pca,PCA,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.3606929291158273,0.379155,3977.7685950413224,6222.0,0.6666666666666666,1000000,20260602,121,66.0,55.0,1,0,0
1,enet,ENet,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.23158140084638001,0.881325,3409.921568627451,4437.583333333333,0.6666666666666666,1000000,20260602,102,56.0,46.0,1,19,0
1,rf_cv,RF,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.6961913338699522,0.0,1890.297520661157,6222.0,0.6666666666666666,1000000,20260602,121,90.0,31.0,1,0,0
1,xgb_cv,XGBoost,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.3279777701623937,0.548543,4181.322314049587,6222.0,0.6666666666666666,1000000,20260602,121,72.0,49.0,1,0,0
1,nn_comb,Neural net,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.4683169026992995,0.031699,3308.1322314049585,6222.0,0.6666666666666666,1000000,20260602,121,80.0,41.0,1,0,0
1,lin_comb,Linear combination,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.4403064572258927,0.076423,3482.413223140496,6222.0,0.6666666666666666,1000000,20260602,121,71.0,50.0,1,0,0
1,nonlin_comb,Nonlinear combination,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.5453296885750643,0.000837,2828.9586776859505,6222.0,0.6666666666666666,1000000,20260602,121,81.0,40.0,1,0,0
1,all_comb,All models combination,is_shapley_vs_oos_gpbsv,Current: IS Shapley VI vs OOS GPBSV,equal(drop via ishapley_vi),signed,0.5739139443882146,0.000129,2651.1074380165287,6222.0,0.6666666666666666,1000000,20260602,121,81.0,40.0,1,0,0
1,pca,PCA,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,equal(drop via ishapley_vi),ordinary,0.9403807072212438,0.0,145.47107438016528,2440.0,0.6666666666666666,1000000,20260602,121,,,1,0,0
1,enet,ENet,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,equal(drop via ishapley_vi),ordinary,0.9738763139592086,0.0,45.294117647058826,1733.8333333333328,0.6666666666666666,1000000,20260602,102,,,1,19,0
1,rf_cv,RF,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,equal(drop via ishapley_vi),ordinary,0.9405161902181276,0.0,145.1404958677686,2440.0,0.6666666666666666,1000000,20260602,121,,,1,0,0
1,xgb_cv,XGBoost,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,equal(drop via ishapley_vi),ordinary,0.949092263920878,0.0,124.21487603305785,2440.0,0.6666666666666666,1000000,20260602,121,,,1,0,0
1,nn_comb,Neural net,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,equal(drop via ishapley_vi),ordinary,0.928620783091722,0.0,174.16528925619835,2440.0,0.6666666666666666,1000000,20260602,121,,,1,0,0
1,lin_comb,Linear combination,is_shapley_vs_oos_shapley,Check 1: IS Shapley VI vs OOS Shapley VI,equal(drop via ishapley_vi),ordinary,0.9567064083457526,0.0,105.63636363636364,2440.0,0.6666666666666666,1000000,20260602,121,,,1,0,0
