comparison_label,model_label,1,3,6,12
Current: IS Shapley VI vs OOS GPBSV,PCA,0.361,0.383,0.286,0.415
Current: IS Shapley VI vs OOS GPBSV,ENet,0.232,0.032,0.288,0.067
Current: IS Shapley VI vs OOS GPBSV,RF,0.696***,0.353,0.552***,0.815***
Current: IS Shapley VI vs OOS GPBSV,XGBoost,0.328,-0.019,0.080,0.214
Current: IS Shapley VI vs OOS GPBSV,Neural net,0.468**,0.417,0.179,0.349
Current: IS Shapley VI vs OOS GPBSV,Linear combination,0.440*,0.357,0.367,0.388
Current: IS Shapley VI vs OOS GPBSV,Nonlinear combination,0.545***,0.400,0.253,0.499***
Current: IS Shapley VI vs OOS GPBSV,All models combination,0.574***,0.411,0.282,0.514***
Check 1: IS Shapley VI vs OOS Shapley VI,PCA,0.940***,0.925***,0.932***,0.956***
Check 1: IS Shapley VI vs OOS Shapley VI,ENet,0.974***,0.969***,0.962***,0.981***
Check 1: IS Shapley VI vs OOS Shapley VI,RF,0.941***,0.914***,0.969***,0.988***
Check 1: IS Shapley VI vs OOS Shapley VI,XGBoost,0.949***,0.910***,0.960***,0.981***
Check 1: IS Shapley VI vs OOS Shapley VI,Neural net,0.929***,0.955***,0.931***,0.950***
Check 1: IS Shapley VI vs OOS Shapley VI,Linear combination,0.957***,0.955***,0.950***,0.962***
Check 1: IS Shapley VI vs OOS Shapley VI,Nonlinear combination,0.939***,0.944***,0.948***,0.966***
Check 1: IS Shapley VI vs OOS Shapley VI,All models combination,0.926***,0.947***,0.954***,0.968***
Check 2: OOS Shapley VI vs OOS GPBSV,PCA,0.337,0.379,0.293,0.395
Check 2: OOS Shapley VI vs OOS GPBSV,ENet,0.215,0.021,0.295,0.021
Check 2: OOS Shapley VI vs OOS GPBSV,RF,0.716***,0.327,0.540***,0.816***
Check 2: OOS Shapley VI vs OOS GPBSV,XGBoost,0.318,-0.016,0.073,0.217
Check 2: OOS Shapley VI vs OOS GPBSV,Neural net,0.474**,0.417,0.171,0.338
Check 2: OOS Shapley VI vs OOS GPBSV,Linear combination,0.435*,0.350,0.358,0.364
Check 2: OOS Shapley VI vs OOS GPBSV,Nonlinear combination,0.546***,0.395,0.242,0.501***
Check 2: OOS Shapley VI vs OOS GPBSV,All models combination,0.582***,0.403,0.270,0.511***
