dgp,window,model,predictor,M,replicate,pbsv
friedman1,expanding,enet,x1,3,0,-1.290375706480247
friedman1,expanding,enet,x2,3,0,-1.4278420740968978
friedman1,expanding,enet,x3,3,0,0.00994279710807359
friedman1,expanding,enet,x4,3,0,-0.22764091793483932
friedman1,expanding,enet,x5,3,0,-0.03063762214759443
friedman1,expanding,enet,x6,3,0,-0.007838562516652122
friedman1,expanding,rf,x1,3,0,-1.3535158371411604
friedman1,expanding,rf,x2,3,0,-1.441984632000296
friedman1,expanding,rf,x3,3,0,-0.0009742981778754581
friedman1,expanding,rf,x4,3,0,-0.09321568553888944
friedman1,expanding,rf,x5,3,0,-0.012927639195715898
friedman1,expanding,rf,x6,3,0,-0.0003984493224009252
friedman1,expanding,xgboost,x1,3,0,-1.4675714102727497
friedman1,expanding,xgboost,x2,3,0,-1.5957312272518835
friedman1,expanding,xgboost,x3,3,0,-0.01928100697185379
friedman1,expanding,xgboost,x4,3,0,-0.21354636604867042
friedman1,expanding,xgboost,x5,3,0,-0.033270912014677044
friedman1,expanding,xgboost,x6,3,0,-0.004795954498509207
friedman1,expanding,enet,x1,3,1,-1.2987065260465622
friedman1,expanding,enet,x2,3,1,-1.3951418245428993
friedman1,expanding,enet,x3,3,1,0.009135751432269856
friedman1,expanding,enet,x4,3,1,-0.22672813469635156
friedman1,expanding,enet,x5,3,1,-0.05398105873995714
friedman1,expanding,enet,x6,3,1,-0.008970293474656462
friedman1,expanding,rf,x1,3,1,-1.3613306570250643
friedman1,expanding,rf,x2,3,1,-1.4312947228845505
friedman1,expanding,rf,x3,3,1,-0.0013151904396686194
friedman1,expanding,rf,x4,3,1,-0.09316200223424458
friedman1,expanding,rf,x5,3,1,-0.015389565188475118
friedman1,expanding,rf,x6,3,1,-0.0005244036043350331
friedman1,expanding,xgboost,x1,3,1,-1.4859723908124274
friedman1,expanding,xgboost,x2,3,1,-1.5462196397928938
friedman1,expanding,xgboost,x3,3,1,-0.02333633120233421
friedman1,expanding,xgboost,x4,3,1,-0.21203489595645483
friedman1,expanding,xgboost,x5,3,1,-0.06139133922207124
friedman1,expanding,xgboost,x6,3,1,-0.005242280072162005
friedman1,expanding,enet,x1,3,2,-1.2252998376192201
friedman1,expanding,enet,x2,3,2,-1.4376674167582155
friedman1,expanding,enet,x3,3,2,0.008563267212679082
friedman1,expanding,enet,x4,3,2,-0.2632715062870351
friedman1,expanding,enet,x5,3,2,-0.046381970839900144
friedman1,expanding,enet,x6,3,2,-0.01033462177646538
friedman1,expanding,rf,x1,3,2,-1.3319347588654142
friedman1,expanding,rf,x2,3,2,-1.4432333439769895
friedman1,expanding,rf,x3,3,2,-0.0015896502038612592
friedman1,expanding,rf,x4,3,2,-0.11094381660632795
friedman1,expanding,rf,x5,3,2,-0.014766553671670976
friedman1,expanding,rf,x6,3,2,-0.0005484180520742102
friedman1,expanding,xgboost,x1,3,2,-1.3740366636963797
friedman1,expanding,xgboost,x2,3,2,-1.6093612264377553
friedman1,expanding,xgboost,x3,3,2,-0.025740441658895313
friedman1,expanding,xgboost,x4,3,2,-0.2709948785307826
friedman1,expanding,xgboost,x5,3,2,-0.04840151349734436
friedman1,expanding,xgboost,x6,3,2,-0.005662153237186625
friedman1,expanding,enet,x1,3,3,-1.28242650317972
friedman1,expanding,enet,x2,3,3,-1.3956896446633176
friedman1,expanding,enet,x3,3,3,0.0080802125837246
friedman1,expanding,enet,x4,3,3,-0.24720438676854042
friedman1,expanding,enet,x5,3,3,-0.0463043459679476
friedman1,expanding,enet,x6,3,3,-0.010847418072356082
friedman1,expanding,rf,x1,3,3,-1.352294120411246
friedman1,expanding,rf,x2,3,3,-1.4313501899422256
friedman1,expanding,rf,x3,3,3,-0.0017949809024158103
friedman1,expanding,rf,x4,3,3,-0.10226852405559465
friedman1,expanding,rf,x5,3,3,-0.014876820589044382
friedman1,expanding,rf,x6,3,3,-0.00043190547581154853
friedman1,expanding,xgboost,x1,3,3,-1.4582563445345371
friedman1,expanding,xgboost,x2,3,3,-1.5481193747532795
friedman1,expanding,xgboost,x3,3,3,-0.027841252044097375
friedman1,expanding,xgboost,x4,3,3,-0.24654950144629328
friedman1,expanding,xgboost,x5,3,3,-0.04764609039015109
friedman1,expanding,xgboost,x6,3,3,-0.005784313889985311
friedman1,expanding,enet,x1,3,4,-1.2784555474831798
friedman1,expanding,enet,x2,3,4,-1.4396350295633844
friedman1,expanding,enet,x3,3,4,0.008725633296391163
friedman1,expanding,enet,x4,3,4,-0.2281092942810364
friedman1,expanding,enet,x5,3,4,-0.026576836693835593
friedman1,expanding,enet,x6,3,4,-0.010341011343111939
friedman1,expanding,rf,x1,3,4,-1.3521633382423712
friedman1,expanding,rf,x2,3,4,-1.443125100380226
friedman1,expanding,rf,x3,3,4,-0.001538880341556877
friedman1,expanding,rf,x4,3,4,-0.09306754858672239
friedman1,expanding,rf,x5,3,4,-0.012553924474705639
friedman1,expanding,rf,x6,3,4,-0.0005677493507562822
friedman1,expanding,xgboost,x1,3,4,-1.4562680585939864
friedman1,expanding,xgboost,x2,3,4,-1.6066611773461157
friedman1,expanding,xgboost,x3,3,4,-0.025535883559996253
friedman1,expanding,xgboost,x4,3,4,-0.21394321523646118
friedman1,expanding,xgboost,x5,3,4,-0.025898694060580985
friedman1,expanding,xgboost,x6,3,4,-0.005889848261202831
friedman1,expanding,enet,x1,3,5,-1.2395100889658401
friedman1,expanding,enet,x2,3,5,-1.4382603321245035
friedman1,expanding,enet,x3,3,5,0.007360472525899775
friedman1,expanding,enet,x4,3,5,-0.23944751965685093
friedman1,expanding,enet,x5,3,5,-0.05398105873995714
friedman1,expanding,enet,x6,3,5,-0.010553559106904772
friedman1,expanding,rf,x1,3,5,-1.3406677224613908
friedman1,expanding,rf,x2,3,5,-1.443030518412958
friedman1,expanding,rf,x3,3,5,-0.001938810294402793
friedman1,expanding,rf,x4,3,5,-0.10147837735447814
friedman1,expanding,rf,x5,3,5,-0.015389565188475118
friedman1,expanding,rf,x6,3,5,-0.0005115476646336455
friedman1,expanding,xgboost,x1,3,5,-1.3990889180737114
friedman1,expanding,xgboost,x2,3,5,-1.605980326470952
friedman1,expanding,xgboost,x3,3,5,-0.030743733636694897
friedman1,expanding,xgboost,x4,3,5,-0.23016129724299852
friedman1,expanding,xgboost,x5,3,5,-0.06139133922207124
friedman1,expanding,xgboost,x6,3,5,-0.006831262411915691
friedman1,expanding,enet,x1,3,6,-1.2409609888201665
