dgp,window,model,predictor,M,replicate,pbsv
friedman1,rolling,enet,x1,3,0,-1.3232472456729496
friedman1,rolling,enet,x2,3,0,-1.442921640960367
friedman1,rolling,enet,x3,3,0,0.014493603087621043
friedman1,rolling,enet,x4,3,0,-0.23014530398477137
friedman1,rolling,enet,x5,3,0,-0.028668816616790844
friedman1,rolling,enet,x6,3,0,-0.007153040580361665
friedman1,rolling,rf,x1,3,0,-1.3759933831556521
friedman1,rolling,rf,x2,3,0,-1.3826676131829378
friedman1,rolling,rf,x3,3,0,-0.010016976048512705
friedman1,rolling,rf,x4,3,0,-0.09533905777333877
friedman1,rolling,rf,x5,3,0,-0.012546102542359142
friedman1,rolling,rf,x6,3,0,-0.0023646377113596775
friedman1,rolling,xgboost,x1,3,0,-1.475310928434519
friedman1,rolling,xgboost,x2,3,0,-1.5454508091766461
friedman1,rolling,xgboost,x3,3,0,-0.019976800628081454
friedman1,rolling,xgboost,x4,3,0,-0.2103527037417111
friedman1,rolling,xgboost,x5,3,0,-0.027493732494696554
friedman1,rolling,xgboost,x6,3,0,-0.005047411971514222
friedman1,rolling,enet,x1,3,1,-1.3294203439078274
friedman1,rolling,enet,x2,3,1,-1.4098980388738427
friedman1,rolling,enet,x3,3,1,0.0141061901156286
friedman1,rolling,enet,x4,3,1,-0.22876055485637883
friedman1,rolling,enet,x5,3,1,-0.055128337238004886
friedman1,rolling,enet,x6,3,1,-0.008541359967194517
friedman1,rolling,rf,x1,3,1,-1.38401117202409
friedman1,rolling,rf,x2,3,1,-1.367738244745982
friedman1,rolling,rf,x3,3,1,-0.010363304232466564
friedman1,rolling,rf,x4,3,1,-0.09607649798379587
friedman1,rolling,rf,x5,3,1,-0.01812025867268145
friedman1,rolling,rf,x6,3,1,-0.002618292755144173
friedman1,rolling,xgboost,x1,3,1,-1.493380266844022
friedman1,rolling,xgboost,x2,3,1,-1.502678705837079
friedman1,rolling,xgboost,x3,3,1,-0.02174597174705961
friedman1,rolling,xgboost,x4,3,1,-0.21033294556135027
friedman1,rolling,xgboost,x5,3,1,-0.04958595868494727
friedman1,rolling,xgboost,x6,3,1,-0.005908537772710017
friedman1,rolling,enet,x1,3,2,-1.2590305482844342
friedman1,rolling,enet,x2,3,2,-1.4539731942046112
friedman1,rolling,enet,x3,3,2,0.014331536978828644
friedman1,rolling,enet,x4,3,2,-0.26306377454854496
friedman1,rolling,enet,x5,3,2,-0.045966082198499625
friedman1,rolling,enet,x6,3,2,-0.009940382470358148
friedman1,rolling,rf,x1,3,2,-1.3455563016652363
friedman1,rolling,rf,x2,3,2,-1.3850358877893687
friedman1,rolling,rf,x3,3,2,-0.010959057835537819
friedman1,rolling,rf,x4,3,2,-0.11713737896760783
friedman1,rolling,rf,x5,3,2,-0.01704206712854391
friedman1,rolling,rf,x6,3,2,-0.003197077027865536
friedman1,rolling,xgboost,x1,3,2,-1.3942190144344295
friedman1,rolling,xgboost,x2,3,2,-1.5555288168204753
friedman1,rolling,xgboost,x3,3,2,-0.022010434870814184
friedman1,rolling,xgboost,x4,3,2,-0.26258228233465725
friedman1,rolling,xgboost,x5,3,2,-0.04181567748531945
friedman1,rolling,xgboost,x6,3,2,-0.007476160501472669
friedman1,rolling,enet,x1,3,3,-1.3155000758054458
friedman1,rolling,enet,x2,3,3,-1.411108275572157
friedman1,rolling,enet,x3,3,3,0.01459223605315807
friedman1,rolling,enet,x4,3,3,-0.24880045623020353
