dgp,window,model,predictor,M,replicate,pbsv
polynomial,expanding,enet,x1,3,0,0.017507146997474354
polynomial,expanding,enet,x2,3,0,0.028367624156543075
polynomial,expanding,enet,x3,3,0,-0.9763643069207054
polynomial,expanding,enet,x4,3,0,0.004171216717184567
polynomial,expanding,enet,x5,3,0,0.0028013910031519837
polynomial,expanding,enet,x6,3,0,0.0021489547934748407
polynomial,expanding,rf,x1,3,0,-0.6533117573626223
polynomial,expanding,rf,x2,3,0,-0.41944024615089676
polynomial,expanding,rf,x3,3,0,-1.05883764353278
polynomial,expanding,rf,x4,3,0,-0.00421401210396007
polynomial,expanding,rf,x5,3,0,-0.001520149738885035
polynomial,expanding,rf,x6,3,0,-0.005702062586496155
polynomial,expanding,xgboost,x1,3,0,-0.9691617203512705
polynomial,expanding,xgboost,x2,3,0,-0.6289390396151773
polynomial,expanding,xgboost,x3,3,0,-1.4089118456610639
polynomial,expanding,xgboost,x4,3,0,0.005283339832641916
polynomial,expanding,xgboost,x5,3,0,0.0013758120535008282
polynomial,expanding,xgboost,x6,3,0,-0.0021849429245123972
polynomial,expanding,enet,x1,3,1,0.01752339823837497
polynomial,expanding,enet,x2,3,1,0.028342009174217326
polynomial,expanding,enet,x3,3,1,-0.9763169558151207
polynomial,expanding,enet,x4,3,1,0.004147296838218499
polynomial,expanding,enet,x5,3,1,0.002791561932627159
polynomial,expanding,enet,x6,3,1,0.0021447163788061254
polynomial,expanding,rf,x1,3,1,-0.6534355220688999
polynomial,expanding,rf,x2,3,1,-0.40930851077079294
polynomial,expanding,rf,x3,3,1,-1.0693843086372128
polynomial,expanding,rf,x4,3,1,-0.004212070699408654
polynomial,expanding,rf,x5,3,1,-0.0013128147824853127
polynomial,expanding,rf,x6,3,1,-0.005372644516840867
polynomial,expanding,xgboost,x1,3,1,-0.9690788947251634
polynomial,expanding,xgboost,x2,3,1,-0.5866047734642693
polynomial,expanding,xgboost,x3,3,1,-1.4507102402453853
polynomial,expanding,xgboost,x4,3,1,0.004312347306125878
polynomial,expanding,xgboost,x5,3,1,-0.00011364878497810427
polynomial,expanding,xgboost,x6,3,1,-0.00034318675221156614
polynomial,expanding,enet,x1,3,2,0.017456043685652567
polynomial,expanding,enet,x2,3,2,0.028368362347028997
polynomial,expanding,enet,x3,3,2,-0.9763113784329708
polynomial,expanding,enet,x4,3,2,0.0041704617791439675
polynomial,expanding,enet,x5,3,2,0.002797436874803383
polynomial,expanding,enet,x6,3,2,0.002151100493465341
polynomial,expanding,rf,x1,3,2,-0.6330185623207236
polynomial,expanding,rf,x2,3,2,-0.41888713924163073
polynomial,expanding,rf,x3,3,2,-1.0792387374728392
polynomial,expanding,rf,x4,3,2,-0.004289129959756943
polynomial,expanding,rf,x5,3,2,-0.0011070160238448128
polynomial,expanding,rf,x6,3,2,-0.006485286456845134
polynomial,expanding,xgboost,x1,3,2,-0.8861655011620008
polynomial,expanding,xgboost,x2,3,2,-0.6332932207373847
polynomial,expanding,xgboost,x3,3,2,-1.4928339287450736
polynomial,expanding,xgboost,x4,3,2,0.003706546358237824
polynomial,expanding,xgboost,x5,3,2,0.0018730945709944196
polynomial,expanding,xgboost,x6,3,2,0.004174613049345373
polynomial,expanding,enet,x1,3,3,0.017491774703483287
polynomial,expanding,enet,x2,3,3,0.02831819705630556
polynomial,expanding,enet,x3,3,3,-0.9762936959584216
polynomial,expanding,enet,x4,3,3,0.004170455774183068
polynomial,expanding,enet,x5,3,3,0.002796649784853648
polynomial,expanding,enet,x6,3,3,0.0021486453867195867
polynomial,expanding,rf,x1,3,3,-0.6430223588976777
polynomial,expanding,rf,x2,3,3,-0.39907761300594835
polynomial,expanding,rf,x3,3,3,-1.0896931657532594
polynomial,expanding,rf,x4,3,3,-0.004490082246294398
polynomial,expanding,rf,x5,3,3,-0.001058662318710768
polynomial,expanding,rf,x6,3,3,-0.005683989253749762
polynomial,expanding,xgboost,x1,3,3,-0.9273391901416725
polynomial,expanding,xgboost,x2,3,3,-0.5476032033800379
polynomial,expanding,xgboost,x3,3,3,-1.5359033730614808
polynomial,expanding,xgboost,x4,3,3,0.003554081412675991
polynomial,expanding,xgboost,x5,3,3,0.002718368253486777
polynomial,expanding,xgboost,x6,3,3,0.002034920251146932
polynomial,expanding,enet,x1,3,4,0.017488944242571264
polynomial,expanding,enet,x2,3,4,0.028342771352782403
polynomial,expanding,enet,x3,3,4,-0.9763108212025985
polynomial,expanding,enet,x4,3,4,0.004162738454761487
polynomial,expanding,enet,x5,3,4,0.002799770459146478
polynomial,expanding,enet,x6,3,4,0.0021486234404602587
polynomial,expanding,rf,x1,3,4,-0.6428677167036528
polynomial,expanding,rf,x2,3,4,-0.40887884556653314
polynomial,expanding,rf,x3,3,4,-1.0800587995415012
polynomial,expanding,rf,x4,3,4,-0.004191198589431326
polynomial,expanding,rf,x5,3,4,-0.0013537578315462688
polynomial,expanding,rf,x6,3,4,-0.005675553242975602
polynomial,expanding,xgboost,x1,3,4,-0.9336890063348954
polynomial,expanding,xgboost,x2,3,4,-0.58467843841611
polynomial,expanding,xgboost,x3,3,4,-1.4932537265536558
polynomial,expanding,xgboost,x4,3,4,0.004573575866257988
polynomial,expanding,xgboost,x5,3,4,0.002528943376258604
polynomial,expanding,xgboost,x6,3,4,0.001980255396262972
polynomial,expanding,enet,x1,3,5,0.01747309430540415
polynomial,expanding,enet,x2,3,5,0.02834265972520633
polynomial,expanding,enet,x3,3,5,-0.9762679467547092
polynomial,expanding,enet,x4,3,5,0.004147814815988138
polynomial,expanding,enet,x5,3,5,0.002791561932627159
polynomial,expanding,enet,x6,3,5,0.0021448427226068065
polynomial,expanding,rf,x1,3,5,-0.6333039464337726
polynomial,expanding,rf,x2,3,5,-0.4093453325263518
polynomial,expanding,rf,x3,3,5,-1.0900616675864254
polynomial,expanding,rf,x4,3,5,-0.004110002119167196
polynomial,expanding,rf,x5,3,5,-0.0013128147824853127
polynomial,expanding,rf,x6,3,5,-0.00489210802743778
polynomial,expanding,xgboost,x1,3,5,-0.887156017287093
polynomial,expanding,xgboost,x2,3,5,-0.5848548786600446
polynomial,expanding,xgboost,x3,3,5,-1.5352264898852148
polynomial,expanding,xgboost,x4,3,5,0.0050364759826460785
polynomial,expanding,xgboost,x5,3,5,-0.00011364878497810427
polynomial,expanding,xgboost,x6,3,5,-0.00022383803119700266
polynomial,expanding,enet,x1,3,6,0.01746943564459902
polynomial,expanding,enet,x2,3,6,0.028368362347028997
polynomial,expanding,enet,x3,3,6,-0.9763301038277911
polynomial,expanding,enet,x4,3,6,0.004178553600869013
polynomial,expanding,enet,x5,3,6,0.002794158205336054
polynomial,expanding,enet,x6,3,6,0.002151620777081309
polynomial,expanding,rf,x1,3,6,-0.6330467006477339
polynomial,expanding,rf,x2,3,6,-0.41888713924163073
polynomial,expanding,rf,x3,3,6,-1.0793452969622874
polynomial,expanding,rf,x4,3,6,-0.004234287333501878
polynomial,expanding,rf,x5,3,6,-0.0012023527822283182
polynomial,expanding,rf,x6,3,6,-0.006310094508257924
