dgp,window,model,predictor,M,replicate,pbsv
polynomial,rolling,enet,x1,3,0,0.00848077506183483
polynomial,rolling,enet,x2,3,0,0.028397749034806557
polynomial,rolling,enet,x3,3,0,-1.0319891132140635
polynomial,rolling,enet,x4,3,0,0.003440591503275877
polynomial,rolling,enet,x5,3,0,0.003345604595249204
polynomial,rolling,enet,x6,3,0,0.010725493476250106
polynomial,rolling,rf,x1,3,0,-0.5632412053853231
polynomial,rolling,rf,x2,3,0,-0.3704122043722376
polynomial,rolling,rf,x3,3,0,-1.0186605204411834
polynomial,rolling,rf,x4,3,0,-0.00013486685772331106
polynomial,rolling,rf,x5,3,0,-0.0021420079408873693
polynomial,rolling,rf,x6,3,0,0.0012333451248800475
polynomial,rolling,xgboost,x1,3,0,-0.8858130803370626
polynomial,rolling,xgboost,x2,3,0,-0.5698489391993741
polynomial,rolling,xgboost,x3,3,0,-1.3477511673991678
polynomial,rolling,xgboost,x4,3,0,-5.568367427155607e-05
polynomial,rolling,xgboost,x5,3,0,0.0005810483205767417
polynomial,rolling,xgboost,x6,3,0,0.005074454830663229
polynomial,rolling,enet,x1,3,1,0.008727055265712602
polynomial,rolling,enet,x2,3,1,0.028368635714085322
polynomial,rolling,enet,x3,3,1,-1.0317949616332271
polynomial,rolling,enet,x4,3,1,0.003093509905171136
polynomial,rolling,enet,x5,3,1,0.0032565839287359566
polynomial,rolling,enet,x6,3,1,0.01075027727687535
polynomial,rolling,rf,x1,3,1,-0.5637732306974308
polynomial,rolling,rf,x2,3,1,-0.3656656357325108
polynomial,rolling,rf,x3,3,1,-1.0237653591917928
polynomial,rolling,rf,x4,3,1,0.00047039527256420577
polynomial,rolling,rf,x5,3,1,-0.0020356153565910993
polynomial,rolling,rf,x6,3,1,0.001411985833286537
polynomial,rolling,xgboost,x1,3,1,-0.8864678125368363
polynomial,rolling,xgboost,x2,3,1,-0.5384369309179887
polynomial,rolling,xgboost,x3,3,1,-1.3767549077677153
polynomial,rolling,xgboost,x4,3,1,-0.0021618786642523258
polynomial,rolling,xgboost,x5,3,1,-0.00023335921811229454
polynomial,rolling,xgboost,x6,3,1,0.006241521646268493
polynomial,rolling,enet,x1,3,2,0.008587242287834437
polynomial,rolling,enet,x2,3,2,0.028414714122906453
polynomial,rolling,enet,x3,3,2,-1.0320532461085838
polynomial,rolling,enet,x4,3,2,0.0034328021427308584
polynomial,rolling,enet,x5,3,2,0.003329856955387308
polynomial,rolling,enet,x6,3,2,0.010689731057077712
polynomial,rolling,rf,x1,3,2,-0.5536591921208528
polynomial,rolling,rf,x2,3,2,-0.3703896731491994
polynomial,rolling,rf,x3,3,2,-1.027764705813242
polynomial,rolling,rf,x4,3,2,-0.000541193885749062
polynomial,rolling,rf,x5,3,2,-0.002163161250941551
polynomial,rolling,rf,x6,3,2,0.0011604663475099919
polynomial,rolling,xgboost,x1,3,2,-0.8277444587002895
polynomial,rolling,xgboost,x2,3,2,-0.5734149987951411
polynomial,rolling,xgboost,x3,3,2,-1.405468131283427
polynomial,rolling,xgboost,x4,3,2,-0.0019203201044481293
polynomial,rolling,xgboost,x5,3,2,0.001828585309413766
polynomial,rolling,xgboost,x6,3,2,0.008905956115256094
polynomial,rolling,enet,x1,3,3,0.008697506288139886
polynomial,rolling,enet,x2,3,3,0.02839838898880287
polynomial,rolling,enet,x3,3,3,-1.0322400953390847
polynomial,rolling,enet,x4,3,3,0.0034643421046104037
polynomial,rolling,enet,x5,3,3,0.00335857691180097
polynomial,rolling,enet,x6,3,3,0.010722381503083541
polynomial,rolling,rf,x1,3,3,-0.558940604341067
polynomial,rolling,rf,x2,3,3,-0.36093331802600476
polynomial,rolling,rf,x3,3,3,-1.0320348521622278
polynomial,rolling,rf,x4,3,3,-0.0006728243947140555
polynomial,rolling,rf,x5,3,3,-0.0020126203463165884
polynomial,rolling,rf,x6,3,3,0.0012367593978553544
polynomial,rolling,xgboost,x1,3,3,-0.8560823761835601
polynomial,rolling,xgboost,x2,3,3,-0.5128724097130472
polynomial,rolling,xgboost,x3,3,3,-1.4362120301740322
polynomial,rolling,xgboost,x4,3,3,-0.0016856048036006932
polynomial,rolling,xgboost,x5,3,3,0.001498538864136793
polynomial,rolling,xgboost,x6,3,3,0.007540514551467241
polynomial,rolling,enet,x1,3,4,0.008731706559774288
polynomial,rolling,enet,x2,3,4,0.02837919397567057
polynomial,rolling,enet,x3,3,4,-1.0321839413815563
polynomial,rolling,enet,x4,3,4,0.0033102903177000265
polynomial,rolling,enet,x5,3,4,0.003440291348625705
polynomial,rolling,enet,x6,3,4,0.010723559637138743
polynomial,rolling,rf,x1,3,4,-0.5587567672054052
polynomial,rolling,rf,x2,3,4,-0.3656394942763328
polynomial,rolling,rf,x3,3,4,-1.028112223385155
polynomial,rolling,rf,x4,3,4,6.283666967643597e-05
polynomial,rolling,rf,x5,3,4,-0.0021213793632288702
polynomial,rolling,rf,x6,3,4,0.0012095676879706474
polynomial,rolling,xgboost,x1,3,4,-0.8596507529291474
polynomial,rolling,xgboost,x2,3,4,-0.5402000352741816
polynomial,rolling,xgboost,x3,3,4,-1.4052607269291248
polynomial,rolling,xgboost,x4,3,4,-8.004435083323418e-05
polynomial,rolling,xgboost,x5,3,4,1.4447756585322935e-05
polynomial,rolling,xgboost,x6,3,4,0.007363744268065779
polynomial,rolling,enet,x1,3,5,0.008734358265443923
polynomial,rolling,enet,x2,3,5,0.028380905404208345
polynomial,rolling,enet,x3,3,5,-1.0317879971662711
polynomial,rolling,enet,x4,3,5,0.0030681352837595246
polynomial,rolling,enet,x5,3,5,0.0032565839287359566
polynomial,rolling,enet,x6,3,5,0.01074911474147644
polynomial,rolling,rf,x1,3,5,-0.5543609135262894
polynomial,rolling,rf,x2,3,5,-0.3656054016062749
polynomial,rolling,rf,x3,3,5,-1.0332704899156335
polynomial,rolling,rf,x4,3,5,0.0005382072710728991
polynomial,rolling,rf,x5,3,5,-0.0020356153565910993
polynomial,rolling,rf,x6,3,5,0.0013767532612414257
polynomial,rolling,xgboost,x1,3,5,-0.8281793876904086
polynomial,rolling,xgboost,x2,3,5,-0.5397600604903462
