dgp,window,model,predictor,M,replicate,pbsv
threshold,expanding,enet,x1,3,0,0.015009906494152014
threshold,expanding,enet,x2,3,0,-0.5743958628547229
threshold,expanding,enet,x3,3,0,0.0009936885233217119
threshold,expanding,enet,x4,3,0,0.022011829775886598
threshold,expanding,enet,x5,3,0,0.011757735191775698
threshold,expanding,enet,x6,3,0,0.002853255865958637
threshold,expanding,rf,x1,3,0,-0.6753324833939969
threshold,expanding,rf,x2,3,0,-1.3581251175937477
threshold,expanding,rf,x3,3,0,-0.009033613816189575
threshold,expanding,rf,x4,3,0,-0.00021641977123265654
threshold,expanding,rf,x5,3,0,-0.008594312534644969
threshold,expanding,rf,x6,3,0,-0.0005083931194038716
threshold,expanding,xgboost,x1,3,0,-0.7094131898451614
threshold,expanding,xgboost,x2,3,0,-1.3508758770864893
threshold,expanding,xgboost,x3,3,0,-0.06177267947781995
threshold,expanding,xgboost,x4,3,0,0.027100342937244355
threshold,expanding,xgboost,x5,3,0,-0.022744746551696633
threshold,expanding,xgboost,x6,3,0,0.0051718470867577375
threshold,expanding,enet,x1,3,1,0.015040233758481625
threshold,expanding,enet,x2,3,1,-0.574342966369365
threshold,expanding,enet,x3,3,1,0.0009607656955940384
threshold,expanding,enet,x4,3,1,0.022002375441280142
threshold,expanding,enet,x5,3,1,0.011728845477157504
threshold,expanding,enet,x6,3,1,0.0028412989932233845
threshold,expanding,rf,x1,3,1,-0.6720215316148836
threshold,expanding,rf,x2,3,1,-1.3583357367351698
threshold,expanding,rf,x3,3,1,-0.008285627454089228
threshold,expanding,rf,x4,3,1,-0.0013207473947643618
threshold,expanding,rf,x5,3,1,-0.010895976905880733
threshold,expanding,rf,x6,3,1,-0.000950720124427947
threshold,expanding,xgboost,x1,3,1,-0.7052738095387322
threshold,expanding,xgboost,x2,3,1,-1.3556870358721547
threshold,expanding,xgboost,x3,3,1,-0.0652524297641343
threshold,expanding,xgboost,x4,3,1,0.029082377883000794
threshold,expanding,xgboost,x5,3,1,-0.02327513263749433
threshold,expanding,xgboost,x6,3,1,0.007871726992349318
threshold,expanding,enet,x1,3,2,0.014986207683157357
threshold,expanding,enet,x2,3,2,-0.5744031439098363
threshold,expanding,enet,x3,3,2,0.0009950206640981414
threshold,expanding,enet,x4,3,2,0.02206476602081738
threshold,expanding,enet,x5,3,2,0.011772072556942422
threshold,expanding,enet,x6,3,2,0.0028156299811927057
threshold,expanding,rf,x1,3,2,-0.6747787000826265
threshold,expanding,rf,x2,3,2,-1.3587329812148745
threshold,expanding,rf,x3,3,2,-0.008086197844877704
threshold,expanding,rf,x4,3,2,0.0028645447303676796
threshold,expanding,rf,x5,3,2,-0.011535982006865897
threshold,expanding,rf,x6,3,2,-0.0015410238103387524
threshold,expanding,xgboost,x1,3,2,-0.7131701850590342
threshold,expanding,xgboost,x2,3,2,-1.3497869528717497
threshold,expanding,xgboost,x3,3,2,-0.06591219539991695
threshold,expanding,xgboost,x4,3,2,0.03398370665883391
threshold,expanding,xgboost,x5,3,2,-0.02428681637837678
threshold,expanding,xgboost,x6,3,2,0.006638140113078395
threshold,expanding,enet,x1,3,3,0.0150211764236133
threshold,expanding,enet,x2,3,3,-0.5744321829040202
threshold,expanding,enet,x3,3,3,0.0009640081823346266
threshold,expanding,enet,x4,3,3,0.02204012418156509
threshold,expanding,enet,x5,3,3,0.01178236923854333
threshold,expanding,enet,x6,3,3,0.002855057874335598
threshold,expanding,rf,x1,3,3,-0.6741728133023379
threshold,expanding,rf,x2,3,3,-1.3581065147393192
threshold,expanding,rf,x3,3,3,-0.007344345735338746
threshold,expanding,rf,x4,3,3,0.0009525156116112488
threshold,expanding,rf,x5,3,3,-0.0117232677966815
threshold,expanding,rf,x6,3,3,-0.0014159142671494134
threshold,expanding,xgboost,x1,3,3,-0.7083316580057707
threshold,expanding,xgboost,x2,3,3,-1.3505968022508188
threshold,expanding,xgboost,x3,3,3,-0.06642754670717747
threshold,expanding,xgboost,x4,3,3,0.029178337791919844
threshold,expanding,xgboost,x5,3,3,-0.023088029111241193
threshold,expanding,xgboost,x6,3,3,0.006731395345923004
threshold,expanding,enet,x1,3,4,0.015031330316608082
threshold,expanding,enet,x2,3,4,-0.5744398053788543
threshold,expanding,enet,x3,3,4,0.000975100204619291
threshold,expanding,enet,x4,3,4,0.022039496432022743
threshold,expanding,enet,x5,3,4,0.011789830602466708
threshold,expanding,enet,x6,3,4,0.0028346008195092587
threshold,expanding,rf,x1,3,4,-0.6726271837846407
threshold,expanding,rf,x2,3,4,-1.3605571563872128
threshold,expanding,rf,x3,3,4,-0.007762947858720078
threshold,expanding,rf,x4,3,4,0.0007227789657576386
threshold,expanding,rf,x5,3,4,-0.009692498607817438
threshold,expanding,rf,x6,3,4,-0.0018933325565822685
threshold,expanding,xgboost,x1,3,4,-0.7091618695477647
threshold,expanding,xgboost,x2,3,4,-1.3478350678471631
threshold,expanding,xgboost,x3,3,4,-0.06799262916981148
threshold,expanding,xgboost,x4,3,4,0.026376647367065836
threshold,expanding,xgboost,x5,3,4,-0.02024809379560037
threshold,expanding,xgboost,x6,3,4,0.006326710056108557
threshold,expanding,enet,x1,3,5,0.015019244896513628
threshold,expanding,enet,x2,3,5,-0.5744400194853361
threshold,expanding,enet,x3,3,5,0.0010084810995229325
threshold,expanding,enet,x4,3,5,0.02205027198231339
threshold,expanding,enet,x5,3,5,0.011728845477157504
threshold,expanding,enet,x6,3,5,0.0028637290262003567
threshold,expanding,rf,x1,3,5,-0.6724853966666643
threshold,expanding,rf,x2,3,5,-1.359687197573298
threshold,expanding,rf,x3,3,5,-0.007260058360411437
threshold,expanding,rf,x4,3,5,0.0004890870776318815
threshold,expanding,rf,x5,3,5,-0.010895976905880733
threshold,expanding,rf,x6,3,5,-0.0019707978005930236
threshold,expanding,xgboost,x1,3,5,-0.710432607260929
threshold,expanding,xgboost,x2,3,5,-1.3470597891205263
threshold,expanding,xgboost,x3,3,5,-0.0706554913307967
threshold,expanding,xgboost,x4,3,5,0.03216602655453101
threshold,expanding,xgboost,x5,3,5,-0.02327513263749433
threshold,expanding,xgboost,x6,3,5,0.006722690858050218
threshold,expanding,enet,x1,3,6,0.015014586264411397
threshold,expanding,enet,x2,3,6,-0.5744031439098363
threshold,expanding,enet,x3,3,6,0.0010093852543033854
threshold,expanding,enet,x4,3,6,0.022037542775527347
threshold,expanding,enet,x5,3,6,0.011760211493313152
threshold,expanding,enet,x6,3,6,0.002811971118652723
threshold,expanding,rf,x1,3,6,-0.673301605175292
threshold,expanding,rf,x2,3,6,-1.3587329812148745
threshold,expanding,rf,x3,3,6,-0.008033450430686484
threshold,expanding,rf,x4,3,6,0.0008165216344806492
threshold,expanding,rf,x5,3,6,-0.011172923418572603
threshold,expanding,rf,x6,3,6,-0.001385901624270769
threshold,expanding,xgboost,x1,3,6,-0.7096953725695893
threshold,expanding,xgboost,x2,3,6,-1.3497869528717497
threshold,expanding,xgboost,x3,3,6,-0.06693441113206082
threshold,expanding,xgboost,x4,3,6,0.032035829558507554
threshold,expanding,xgboost,x5,3,6,-0.022793668303118537
threshold,expanding,xgboost,x6,3,6,0.004640272380845412
threshold,expanding,enet,x1,3,7,0.015018314105612237
threshold,expanding,enet,x2,3,7,-0.5744120866684447
threshold,expanding,enet,x3,3,7,0.0009346874399180916
threshold,expanding,enet,x4,3,7,0.02206979225509535
threshold,expanding,enet,x5,3,7,0.01177604130437763
threshold,expanding,enet,x6,3,7,0.0028438045598130715
threshold,expanding,rf,x1,3,7,-0.6725810059714593
threshold,expanding,rf,x2,3,7,-1.3627409900905938
threshold,expanding,rf,x3,3,7,-0.006964368687046048
threshold,expanding,rf,x4,3,7,0.002575248446412548
threshold,expanding,rf,x5,3,7,-0.010467399733895618
threshold,expanding,rf,x6,3,7,-0.0016318241926336352
threshold,expanding,xgboost,x1,3,7,-0.7091502791682673
threshold,expanding,xgboost,x2,3,7,-1.3529968847384284
threshold,expanding,xgboost,x3,3,7,-0.07110064045687658
threshold,expanding,xgboost,x4,3,7,0.035502903841861055
threshold,expanding,xgboost,x5,3,7,-0.022094363546950675
threshold,expanding,xgboost,x6,3,7,0.007304961131496738
threshold,expanding,enet,x1,6,0,0.015028054602563845
threshold,expanding,enet,x2,6,0,-0.5744423346138142
threshold,expanding,enet,x3,6,0,0.0009762675164783907
threshold,expanding,enet,x4,6,0,0.02207328688070953
threshold,expanding,enet,x5,6,0,0.011760289514588443
threshold,expanding,enet,x6,6,0,0.002834989095845749
threshold,expanding,rf,x1,6,0,-0.6729388846227397
threshold,expanding,rf,x2,6,0,-1.3627329172630611
threshold,expanding,rf,x3,6,0,-0.007557276101321693
threshold,expanding,rf,x4,6,0,0.002935925071308169
threshold,expanding,rf,x5,6,0,-0.010549794782167518
threshold,expanding,rf,x6,6,0,-0.0009673925312339756
threshold,expanding,xgboost,x1,6,0,-0.7064041445765339
threshold,expanding,xgboost,x2,6,0,-1.3555325575203092
threshold,expanding,xgboost,x3,6,0,-0.0677426085019116
threshold,expanding,xgboost,x4,6,0,0.032927876127147725
threshold,expanding,xgboost,x5,6,0,-0.022566269031473813
threshold,expanding,xgboost,x6,6,0,0.006783400565915754
threshold,expanding,enet,x1,6,1,0.015005870019747772
threshold,expanding,enet,x2,6,1,-0.5744002382679594
threshold,expanding,enet,x3,6,1,0.0009709910842703081
threshold,expanding,enet,x4,6,1,0.02203904263463567
threshold,expanding,enet,x5,6,1,0.011765584579005192
threshold,expanding,enet,x6,6,1,0.0028493029466721462
threshold,expanding,rf,x1,6,1,-0.6756860645137118
threshold,expanding,rf,x2,6,1,-1.3590481162049313
threshold,expanding,rf,x3,6,1,-0.007628121491194406
threshold,expanding,rf,x4,6,1,0.001105441426433984
threshold,expanding,rf,x5,6,1,-0.009784972663031577
threshold,expanding,rf,x6,6,1,-0.0007685067827806202
threshold,expanding,xgboost,x1,6,1,-0.7092469587956076
threshold,expanding,xgboost,x2,6,1,-1.3488823570134303
threshold,expanding,xgboost,x3,6,1,-0.06917293799758688
threshold,expanding,xgboost,x4,6,1,0.029804369554489358
threshold,expanding,xgboost,x5,6,1,-0.021757057308753252
threshold,expanding,xgboost,x6,6,1,0.006720638623723481
threshold,expanding,enet,x1,6,2,0.015003820808156543
threshold,expanding,enet,x2,6,2,-0.5744496935495415
threshold,expanding,enet,x3,6,2,0.0009849224562528864
threshold,expanding,enet,x4,6,2,0.0220649224355662
threshold,expanding,enet,x5,6,2,0.011785027642236693
threshold,expanding,enet,x6,6,2,0.0028415532037007938
threshold,expanding,rf,x1,6,2,-0.673819666385551
threshold,expanding,rf,x2,6,2,-1.3606078935707362
threshold,expanding,rf,x3,6,2,-0.007892897341963781
threshold,expanding,rf,x4,6,2,0.0017083599960424263
threshold,expanding,rf,x5,6,2,-0.010110352721156604
threshold,expanding,rf,x6,6,2,-0.001087890205850613
threshold,expanding,xgboost,x1,6,2,-0.7104541618902068
threshold,expanding,xgboost,x2,6,2,-1.3499978797972918
threshold,expanding,xgboost,x3,6,2,-0.06725235236605905
threshold,expanding,xgboost,x4,6,2,0.03445071024570131
threshold,expanding,xgboost,x5,6,2,-0.0245702391904233
threshold,expanding,xgboost,x6,6,2,0.005289620061114404
threshold,expanding,enet,x1,6,3,0.015034864237221113
threshold,expanding,enet,x2,6,3,-0.574420106779448
threshold,expanding,enet,x3,6,3,0.0009912894066431328
threshold,expanding,enet,x4,6,3,0.02204752344143505
threshold,expanding,enet,x5,6,3,0.011757321428267945
threshold,expanding,enet,x6,6,3,0.0028196612622524895
threshold,expanding,rf,x1,6,3,-0.6729727924071803
threshold,expanding,rf,x2,6,3,-1.3608015213399305
threshold,expanding,rf,x3,6,3,-0.00733708514284892
threshold,expanding,rf,x4,6,3,0.00129761924726024
threshold,expanding,rf,x5,6,3,-0.01081124970335127
threshold,expanding,rf,x6,6,3,-0.0011853108831650545
threshold,expanding,xgboost,x1,6,3,-0.7072376324576494
threshold,expanding,xgboost,x2,6,3,-1.3503176545382682
threshold,expanding,xgboost,x3,6,3,-0.06737839740763973
threshold,expanding,xgboost,x4,6,3,0.030836528683172104
threshold,expanding,xgboost,x5,6,3,-0.023346223899333458
threshold,expanding,xgboost,x6,6,3,0.004909076682553581
threshold,expanding,enet,x1,6,4,0.014996795767236004
threshold,expanding,enet,x2,6,4,-0.5743992452267225
threshold,expanding,enet,x3,6,4,0.000994264093291138
threshold,expanding,enet,x4,6,4,0.022044056662538763
threshold,expanding,enet,x5,6,4,0.01174650278056714
threshold,expanding,enet,x6,6,4,0.0028481789194612452
threshold,expanding,rf,x1,6,4,-0.6759294539904065
threshold,expanding,rf,x2,6,4,-1.3579258008301573
threshold,expanding,rf,x3,6,4,-0.007976910814124402
threshold,expanding,rf,x4,6,4,0.0011710331475864126
threshold,expanding,rf,x5,6,4,-0.00986799986386148
