dgp,window,model,predictor,M,replicate,pbsv
threshold,rolling,enet,x1,3,0,0.02401634575470683
threshold,rolling,enet,x2,3,0,-0.5115125822556944
threshold,rolling,enet,x3,3,0,0.0029674808649387727
threshold,rolling,enet,x4,3,0,0.02718721186583954
threshold,rolling,enet,x5,3,0,-0.004955866816211074
threshold,rolling,enet,x6,3,0,0.020823177924765107
threshold,rolling,rf,x1,3,0,-0.636717600981762
threshold,rolling,rf,x2,3,0,-1.2029010871232235
threshold,rolling,rf,x3,3,0,0.004388633721919148
threshold,rolling,rf,x4,3,0,0.004189474461120168
threshold,rolling,rf,x5,3,0,-0.01751773685208735
threshold,rolling,rf,x6,3,0,-0.003959077041326624
threshold,rolling,xgboost,x1,3,0,-0.6868309720507951
threshold,rolling,xgboost,x2,3,0,-1.2083283479385605
threshold,rolling,xgboost,x3,3,0,-0.009067208017741116
threshold,rolling,xgboost,x4,3,0,0.015433960477308903
threshold,rolling,xgboost,x5,3,0,-0.057971446699319897
threshold,rolling,xgboost,x6,3,0,0.007300820144819549
threshold,rolling,enet,x1,3,1,0.024052229204916047
threshold,rolling,enet,x2,3,1,-0.511506313262387
threshold,rolling,enet,x3,3,1,0.0029019250430131946
threshold,rolling,enet,x4,3,1,0.027184575973218255
threshold,rolling,enet,x5,3,1,-0.004904480530026086
threshold,rolling,enet,x6,3,1,0.020797830909610404
threshold,rolling,rf,x1,3,1,-0.6341097897547651
threshold,rolling,rf,x2,3,1,-1.2018415991636313
threshold,rolling,rf,x3,3,1,0.0012662187479324978
threshold,rolling,rf,x4,3,1,0.003335052574746422
threshold,rolling,rf,x5,3,1,-0.01793486877134683
threshold,rolling,rf,x6,3,1,-0.003232407448295819
threshold,rolling,xgboost,x1,3,1,-0.6828480532054509
threshold,rolling,xgboost,x2,3,1,-1.2084522052772957
threshold,rolling,xgboost,x3,3,1,-0.0102385501835028
threshold,rolling,xgboost,x4,3,1,0.014099178591545044
threshold,rolling,xgboost,x5,3,1,-0.05736577597129888
threshold,rolling,xgboost,x6,3,1,0.005342211961714953
threshold,rolling,enet,x1,3,2,0.023871813782255263
threshold,rolling,enet,x2,3,2,-0.5114200247249298
threshold,rolling,enet,x3,3,2,0.002933643792179493
threshold,rolling,enet,x4,3,2,0.027311686396571888
threshold,rolling,enet,x5,3,2,-0.004888144209832228
threshold,rolling,enet,x6,3,2,0.020716792302100107
threshold,rolling,rf,x1,3,2,-0.6320522277523405
threshold,rolling,rf,x2,3,2,-1.2035833133755838
threshold,rolling,rf,x3,3,2,-0.0025779773148307448
threshold,rolling,rf,x4,3,2,0.00773133484275131
threshold,rolling,rf,x5,3,2,-0.018952210731263037
threshold,rolling,rf,x6,3,2,-0.003082999484093296
threshold,rolling,xgboost,x1,3,2,-0.6953645869374853
threshold,rolling,xgboost,x2,3,2,-1.206039553407429
threshold,rolling,xgboost,x3,3,2,-0.009347194575399342
threshold,rolling,xgboost,x4,3,2,0.02370560966017436
threshold,rolling,xgboost,x5,3,2,-0.054854239582100416
threshold,rolling,xgboost,x6,3,2,0.0024367707579515674
threshold,rolling,enet,x1,3,3,0.024013254121165433
threshold,rolling,enet,x2,3,3,-0.5115052153694083
threshold,rolling,enet,x3,3,3,0.002870133272073453
threshold,rolling,enet,x4,3,3,0.027239652925189855
threshold,rolling,enet,x5,3,3,-0.004865682362348374
threshold,rolling,enet,x6,3,3,0.020773624751672697
threshold,rolling,rf,x1,3,3,-0.6321900755885774
threshold,rolling,rf,x2,3,3,-1.1982812593611216
threshold,rolling,rf,x3,3,3,-0.0059053603018108065
threshold,rolling,rf,x4,3,3,0.00591706534819673
threshold,rolling,rf,x5,3,3,-0.019606790181719774
threshold,rolling,rf,x6,3,3,-0.0024509737303270995
threshold,rolling,xgboost,x1,3,3,-0.6878951026468121
threshold,rolling,xgboost,x2,3,3,-1.2098262152134047
threshold,rolling,xgboost,x3,3,3,-0.010150849227422857
threshold,rolling,xgboost,x4,3,3,0.01858557136809476
threshold,rolling,xgboost,x5,3,3,-0.05329283024467727
threshold,rolling,xgboost,x6,3,3,0.0031162318799341135
threshold,rolling,enet,x1,3,4,0.02410266923982866
threshold,rolling,enet,x2,3,4,-0.5114832757000927
threshold,rolling,enet,x3,3,4,0.00291082954368956
threshold,rolling,enet,x4,3,4,0.02716967857234313
threshold,rolling,enet,x5,3,4,-0.0049281076178662175
threshold,rolling,enet,x6,3,4,0.020753973300442336
threshold,rolling,rf,x1,3,4,-0.6341932001605964
threshold,rolling,rf,x2,3,4,-1.1999200912983097
threshold,rolling,rf,x3,3,4,-0.00228675612161681
threshold,rolling,rf,x4,3,4,0.004984227758514222
threshold,rolling,rf,x5,3,4,-0.01816788793814032
threshold,rolling,rf,x6,3,4,-0.002933686055210938
threshold,rolling,xgboost,x1,3,4,-0.6805630867906943
threshold,rolling,xgboost,x2,3,4,-1.210878855393611
threshold,rolling,xgboost,x3,3,4,-0.010364280560290151
threshold,rolling,xgboost,x4,3,4,0.01579779539535105
threshold,rolling,xgboost,x5,3,4,-0.05573837659595049
threshold,rolling,xgboost,x6,3,4,0.002283609860906625
threshold,rolling,enet,x1,3,5,0.02397106838515432
