dgp,window,model,predictor,M,mean,std,q_low,q_high
friedman1,expanding,enet,x1,3,-1.2670084317543802,0.02744165586612183,-1.2894218020841839,-1.2396841969483594
friedman1,expanding,enet,x1,6,-1.267853301592906,0.008867795867348812,-1.2748426576792702,-1.2606658852319665
friedman1,expanding,enet,x1,8,-1.2748698977824808,0.008950897756481538,-1.2818543329867225,-1.266665305290096
friedman1,expanding,enet,x1,12,-1.2827263048182234,0.007766630809150612,-1.29035872737194,-1.2792521577939975
friedman1,expanding,enet,x1,18,-1.2775799949884548,0.010594509328262095,-1.2825368598368156,-1.2709088717385721
friedman1,expanding,enet,x1,30,-1.2810885046079856,0.007948859677023133,-1.286559349074466,-1.2746779989592363
friedman1,expanding,enet,x1,40,-1.2785539380908038,0.005710501872867214,-1.2842790581511137,-1.273824918471308
friedman1,expanding,enet,x1,60,-1.2791076007770303,0.005479486518444545,-1.283491260904541,-1.2727530159942653
friedman1,expanding,enet,x1,80,-1.2793233733250755,0.006012116077976535,-1.2829104711151675,-1.273112009752773
friedman1,expanding,enet,x1,100,-1.2770449158973185,0.003400109221869084,-1.2804440256664407,-1.274651025594824
friedman1,expanding,enet,x1,200,-1.2778226709150218,0.002823951585700824,-1.2798599073892603,-1.2752728795928
friedman1,expanding,enet,x1,500,-1.2783672416878613,0.000817037356573541,-1.2790633086116205,-1.2776888591073987
friedman1,expanding,enet,x1,1000,-1.2788362974844623,0.0013354921903705214,-1.279661123804228,-1.278089337581744
friedman1,expanding,enet,x2,3,-1.420226677271559,0.022420290720808957,-1.438189182280549,-1.3952075629573495
friedman1,expanding,enet,x2,6,-1.4118758188141618,0.014732453156059025,-1.425824247981003,-1.397291900646049
friedman1,expanding,enet,x2,8,-1.409581547813722,0.00640359709719263,-1.4158892298093864,-1.402793860032369
friedman1,expanding,enet,x2,12,-1.4022243343621765,0.007368776411972303,-1.4090120176673981,-1.3946288589205411
friedman1,expanding,enet,x2,18,-1.4107448852317108,0.01374701482019564,-1.422251739468561,-1.4017637556087374
friedman1,expanding,enet,x2,30,-1.4117696926139538,0.006806286850034575,-1.4156728232705378,-1.40684806602028
friedman1,expanding,enet,x2,40,-1.4094940315911186,0.0023573098713707817,-1.4108347766937437,-1.4073963531175795
friedman1,expanding,enet,x2,60,-1.408975365475918,0.004349575541923073,-1.4125894522904525,-1.4056513432232844
friedman1,expanding,enet,x2,80,-1.41027131397154,0.002066545671457454,-1.4115183482821043,-1.4092516425967623
friedman1,expanding,enet,x2,100,-1.409726724731592,0.005002068529958102,-1.41370750831037,-1.404588298089645
friedman1,expanding,enet,x2,200,-1.4078410974369329,0.002575806125140012,-1.410729077813051,-1.4055571706094512
friedman1,expanding,enet,x2,500,-1.4094136130810317,0.001109113164639964,-1.410006671976943,-1.4086457019529002
friedman1,expanding,enet,x2,1000,-1.4089576550992038,0.0011452186769783876,-1.4095891753285978,-1.4087780500412304
friedman1,expanding,enet,x3,3,0.008550086635525039,0.0007833377398107791,0.007980558395690522,0.009086537255964413
friedman1,expanding,enet,x3,6,0.008509694047499518,0.0003416349962158235,0.008360751588260527,0.00873318439144176
friedman1,expanding,enet,x3,8,0.00846726473834515,0.000415916719979913,0.008096043216351562,0.008687287117001681
friedman1,expanding,enet,x3,12,0.008441313156548069,0.00033402079740764304,0.008064319937003763,0.008647794234020253
friedman1,expanding,enet,x3,18,0.008556251604429452,0.00029967966148191234,0.008339451260563615,0.008831228883866764
friedman1,expanding,enet,x3,30,0.008522913409759815,0.0001937250131321106,0.008344623564931047,0.008624887276623777
friedman1,expanding,enet,x3,40,0.008565526440502689,0.00025292239474101677,0.008407077930389084,0.008846391116825059
friedman1,expanding,enet,x3,60,0.008529488557808954,0.0001676528764096085,0.008392335414879333,0.008715301052948477
friedman1,expanding,enet,x3,80,0.008511587187530898,6.0152250671813686e-05,0.008446148965507128,0.008570727626131897
friedman1,expanding,enet,x3,100,0.008466364929322638,0.00010068473023716429,0.008402002353492968,0.008582992060119787
friedman1,expanding,enet,x3,200,0.008490238557350517,7.898276407781679e-05,0.008414810376232608,0.00855590855631512
friedman1,expanding,enet,x3,500,0.008489050157000648,5.0741158868371645e-05,0.00844814523165139,0.008545231933189998
friedman1,expanding,enet,x3,1000,0.008533419424793891,1.88767891187828e-05,0.008522431704539635,0.008541831662964672
friedman1,expanding,enet,x4,3,-0.24240212090514926,0.014968486869359407,-0.261262339037169,-0.22769712309638296
friedman1,expanding,enet,x4,6,-0.25345754641007134,0.010521674597391487,-0.2649299934087463,-0.24584542739990684
friedman1,expanding,enet,x4,8,-0.24733489884374762,0.004962530893456214,-0.2524293409574089,-0.24314504959303684
friedman1,expanding,enet,x4,12,-0.2482408156432691,0.008539949795354098,-0.2540388896721858,-0.2382998688573823
friedman1,expanding,enet,x4,18,-0.2443220895038652,0.008228099176007342,-0.25198872861938365,-0.23526973302341153
friedman1,expanding,enet,x4,30,-0.24255540238252093,0.005200196927635842,-0.24808217879063768,-0.23731110615804282
friedman1,expanding,enet,x4,40,-0.24614324970011237,0.005434860160558603,-0.2507049269778052,-0.24052769868602142
friedman1,expanding,enet,x4,60,-0.2441873418031712,0.004443457496216165,-0.2480202488705908,-0.2386848645184623
friedman1,expanding,enet,x4,80,-0.2450541112912391,0.0032926207279277363,-0.24818794920149095,-0.24195985056921904
friedman1,expanding,enet,x4,100,-0.24583421836750236,0.003377586497172861,-0.24825042342385656,-0.24282154340282697
