dgp,window,model,predictor,M,mean,std,q_low,q_high
friedman1,rolling,enet,x1,3,-1.2992771922278534,0.027125211396961075,-1.3223175852888491,-1.2712669745524905
friedman1,rolling,enet,x1,6,-1.3000830982813112,0.008727657025516389,-1.3065573860150659,-1.2936725355668872
friedman1,rolling,enet,x1,8,-1.307080125387207,0.009075799095956008,-1.3145995323807107,-1.2990346151338141
friedman1,rolling,enet,x1,12,-1.3148803022081716,0.007769885685574335,-1.3225197363419439,-1.3115672066638466
friedman1,rolling,enet,x1,18,-1.3096959710236633,0.010390984417103894,-1.3146463680188798,-1.3029755497528326
friedman1,rolling,enet,x1,30,-1.3132921695585136,0.00779093801235116,-1.3186290212514644,-1.3069165930486686
friedman1,rolling,enet,x1,40,-1.3108604818942566,0.005618208021261758,-1.3168654016786805,-1.3063928149664503
friedman1,rolling,enet,x1,60,-1.3112836774848233,0.005164200728682437,-1.3156400092263185,-1.3052921081795479
friedman1,rolling,enet,x1,80,-1.311600484962122,0.0059977599375103,-1.3150818771528614,-1.3054313407080413
friedman1,rolling,enet,x1,100,-1.3092630352577315,0.0031711627135632423,-1.312680345843194,-1.306939085891269
friedman1,rolling,enet,x1,200,-1.310070678453107,0.002770521352582396,-1.3121004976725896,-1.3075831711710237
friedman1,rolling,enet,x1,500,-1.3105828813543943,0.0008146943128952497,-1.31120025297423,-1.3098475994928755
friedman1,rolling,enet,x1,1000,-1.3110452490113809,0.0013326212971695494,-1.311945437688999,-1.3103138343597451
friedman1,rolling,enet,x2,3,-1.436512352174389,0.022411026803068692,-1.4548963673526445,-1.4100432672776404
friedman1,rolling,enet,x2,6,-1.4287149595934865,0.014121162970896502,-1.4426718232039948,-1.4157088564919178
friedman1,rolling,enet,x2,8,-1.4260925270220006,0.006286953285994921,-1.432124912121056,-1.4190893466720604
friedman1,rolling,enet,x2,12,-1.4190756119854522,0.007064552785680905,-1.4248091042895559,-1.4112359664976002
friedman1,rolling,enet,x2,18,-1.427304534713782,0.013806789157681305,-1.4387816281931738,-1.4182113022285465
friedman1,rolling,enet,x2,30,-1.4284644738143848,0.006451932400063481,-1.4323325279576038,-1.4240310609255928
friedman1,rolling,enet,x2,40,-1.4260594038957357,0.0021656612874490716,-1.427497070899284,-1.4244257345377298
friedman1,rolling,enet,x2,60,-1.4254064449058041,0.004392507742315289,-1.4290633726183692,-1.4219314058937267
friedman1,rolling,enet,x2,80,-1.426866423815232,0.0021137701534704083,-1.4279504285397588,-1.4261668810516592
friedman1,rolling,enet,x2,100,-1.4261860590979352,0.0048673394691204205,-1.430032390985654,-1.42116597533432
friedman1,rolling,enet,x2,200,-1.4243910450557766,0.002482605377878546,-1.4270866822893462,-1.422196955718709
friedman1,rolling,enet,x2,500,-1.4260269715765472,0.0010931745704277239,-1.4266616527518396,-1.4251607891778153
friedman1,rolling,enet,x2,1000,-1.4255139127052918,0.0011233394094065682,-1.4261406870723508,-1.4253186315289519
friedman1,rolling,enet,x3,3,0.014213338832320751,0.00043998733546259425,0.01411015650559058,0.014492860829871116
friedman1,rolling,enet,x3,6,0.014217397268497387,0.0002577195404592768,0.013987498090015859,0.014401472691684437
friedman1,rolling,enet,x3,8,0.01406993700503921,0.00033684014895967726,0.01376502131237345,0.014280875993625958
friedman1,rolling,enet,x3,12,0.014063161659448035,0.00016608714511354188,0.013982172088965548,0.014191220921631742
friedman1,rolling,enet,x3,18,0.01403799023310335,0.00011153950046618786,0.013931322711764001,0.014143405931385744
friedman1,rolling,enet,x3,30,0.014051456454993285,0.00011730562856660011,0.013938497145057838,0.014180816241027785
friedman1,rolling,enet,x3,40,0.014127588163635001,0.00014634318152785398,0.013950261377485064,0.014237745783529838
friedman1,rolling,enet,x3,60,0.014099727364152891,0.00011678071343449337,0.014002852861179334,0.01420126115306973
friedman1,rolling,enet,x3,80,0.014088609423061412,7.245530492001867e-05,0.014050444290096163,0.014146331123777113
friedman1,rolling,enet,x3,100,0.01406066274255534,5.9522579747753314e-05,0.014002554820330719,0.014129660956323174
friedman1,rolling,enet,x3,200,0.014090164406692243,4.8639663553727305e-05,0.01404559929905789,0.014128945896417762
friedman1,rolling,enet,x3,500,0.014079042035873814,3.501042716112906e-05,0.014048483199033238,0.014120073733300452
friedman1,rolling,enet,x3,1000,0.014095983425402192,2.081801922898079e-05,0.014074458851891647,0.014107139272542125
friedman1,rolling,enet,x4,3,-0.24351707378361775,0.01402215097262502,-0.26135217635034397,-0.23020833510382432
friedman1,rolling,enet,x4,6,-0.2545534565836795,0.00985183414789131,-0.26535370813419434,-0.24721943094214208
friedman1,rolling,enet,x4,8,-0.24844656771404422,0.004740333894720057,-0.2537803601365544,-0.24435402666075484
friedman1,rolling,enet,x4,12,-0.2492918331790153,0.007869249039766508,-0.25477710774310675,-0.2403296226468848
friedman1,rolling,enet,x4,18,-0.2453917436941507,0.007830781721420736,-0.252929287662077,-0.2368667530023251
friedman1,rolling,enet,x4,30,-0.24385939246571506,0.004987475134739412,-0.24894496720036535,-0.23868359453546178
friedman1,rolling,enet,x4,40,-0.2473353807124586,0.0051125544571044524,-0.25143034152531213,-0.24188549341048668
friedman1,rolling,enet,x4,60,-0.24540425722636872,0.004194129752079164,-0.24901526298393203,-0.24015730953268755
friedman1,rolling,enet,x4,80,-0.2463357476911332,0.003090742682719958,-0.24917315652094493,-0.2434564458273625
friedman1,rolling,enet,x4,100,-0.24708215739504127,0.003167140790815093,-0.24929686869518913,-0.2442152517017054
friedman1,rolling,enet,x4,200,-0.2480837757877339,0.0014526930585763746,-0.24952946301762333,-0.2470487466556203
friedman1,rolling,enet,x4,500,-0.24697258151487086,0.0007083243058764626,-0.24762928622147848,-0.2464702632648244
friedman1,rolling,enet,x4,1000,-0.24687691393672215,0.00033938450663504005,-0.2471884909959098,-0.24658625114081048
