dgp,window,model,predictor,M,mean,std,q_low,q_high
polynomial,expanding,enet,x1,3,0.0174891493377221,2.219417522533291e-05,0.017469874683895634,0.017506692183883493
polynomial,expanding,enet,x1,6,0.01748226327356042,7.337381274112523e-06,0.017476950795249295,0.01748548745776766
polynomial,expanding,enet,x1,8,0.01747811903523216,1.8902551014370114e-05,0.017464712907446257,0.017493769737818528
polynomial,expanding,enet,x1,12,0.01748382251850866,1.773995105762668e-05,0.017465770930746843,0.017503497820981415
polynomial,expanding,enet,x1,18,0.01747932056764465,7.330009398703011e-06,0.017470961673694833,0.01748602923315113
polynomial,expanding,enet,x1,30,0.017481973273138822,6.7273872034552315e-06,0.01747751969538658,0.017488157513684717
polynomial,expanding,enet,x1,40,0.017479833685714607,9.342880143623794e-06,0.01747096387104471,0.017485848049755514
polynomial,expanding,enet,x1,60,0.017480453587995697,8.235726704130951e-06,0.017473492708387668,0.017489071611688903
polynomial,expanding,enet,x1,80,0.0174831051863282,4.0512783943926504e-06,0.017479674799771864,0.01748647448153054
polynomial,expanding,enet,x1,100,0.017477302449912576,4.576658199479116e-06,0.017473127616588542,0.017478815088030664
polynomial,expanding,enet,x1,200,0.017480931945815573,4.993946734337235e-06,0.0174757335649994,0.017485540350868602
polynomial,expanding,enet,x1,500,0.017480137806548536,1.4421295010397111e-06,0.01747929846900092,0.01748154527558552
polynomial,expanding,enet,x1,1000,0.017480694318225114,5.688775128451212e-07,0.01748022037941513,0.017481139251772096
polynomial,expanding,enet,x2,3,0.028342789310246485,2.6929659538743968e-05,0.02832105451045497,0.028368273764170684
polynomial,expanding,enet,x2,6,0.028340467111138364,8.700318583398607e-06,0.0283318515159474,0.028344063279397827
polynomial,expanding,enet,x2,8,0.02834040977030531,1.0628485044224866e-05,0.028330676735802876,0.028350097626764107
polynomial,expanding,enet,x2,12,0.02833793745606185,1.8515710944648494e-05,0.02832088686515853,0.028350698073195565
polynomial,expanding,enet,x2,18,0.02834718454000867,6.887329910217564e-06,0.028340859536697013,0.02835274534803889
polynomial,expanding,enet,x2,30,0.02834432580382926,5.028895440960988e-06,0.028339345551600757,0.028348190707490756
polynomial,expanding,enet,x2,40,0.02834467429375317,8.239007564555877e-06,0.02833647640420958,0.02835157901814558
polynomial,expanding,enet,x2,60,0.02834506663769526,5.974640258813947e-06,0.02834153661681362,0.028349705949823438
polynomial,expanding,enet,x2,80,0.028341053852402542,2.3000362387653493e-06,0.02833961736589037,0.02834265462463961
polynomial,expanding,enet,x2,100,0.0283446323124989,4.171001105897901e-06,0.02834234234860142,0.028348201336744396
polynomial,expanding,enet,x2,200,0.028342115856778326,2.8429008544074977e-06,0.028339736859399573,0.028344494611308873
polynomial,expanding,enet,x2,500,0.028343135972132866,1.3862937752827433e-06,0.02834160148241051,0.02834451428015078
polynomial,expanding,enet,x2,1000,0.028344166975137603,9.069952467987267e-07,0.02834358601597344,0.028344849517177167
polynomial,expanding,enet,x3,3,-0.9763101995343967,2.9266994271622253e-05,-0.9763285260662706,-0.976287264394324
polynomial,expanding,enet,x3,6,-0.9763120282278347,1.1772974392126174e-05,-0.9763237442609334,-0.9763039538523818
polynomial,expanding,enet,x3,8,-0.9763124415252225,1.809710186004463e-05,-0.9763229197773687,-0.9762976603794264
polynomial,expanding,enet,x3,12,-0.9763112349443346,1.4145869583908469e-05,-0.9763243707771504,-0.9762933631188865
polynomial,expanding,enet,x3,18,-0.9763140705776356,1.4331811907722113e-05,-0.9763267291904759,-0.976300185878472
polynomial,expanding,enet,x3,30,-0.976312987826457,7.87144256469936e-06,-0.9763169537854715,-0.9763054321523603
polynomial,expanding,enet,x3,40,-0.9763127363614549,1.00040671220769e-05,-0.9763194835179401,-0.9763059237841875
polynomial,expanding,enet,x3,60,-0.9763142454402117,7.591880294444007e-06,-0.9763234797099918,-0.9763068473992869
polynomial,expanding,enet,x3,80,-0.9763129148159825,2.7238646032663795e-06,-0.9763157553721545,-0.9763106869911503
