dgp,window,model,predictor,M,mean,std,q_low,q_high
threshold,expanding,enet,x1,3,0.015017624992818704,1.5903998816301698e-05,0.01501046806658314,0.015030111849448708
threshold,expanding,enet,x1,6,0.015015358423078596,1.6767434982915055e-05,0.014997638772146469,0.015033616072191253
threshold,expanding,enet,x1,8,0.015022008864461842,5.899033932581955e-06,0.015017767897129155,0.015023937838369602
threshold,expanding,enet,x1,12,0.015028214432645357,1.0709188938381364e-05,0.015018037838637612,0.01503801943900002
threshold,expanding,enet,x1,18,0.015027781899174704,1.0993250759333489e-05,0.015019012296093696,0.015039255501295281
threshold,expanding,enet,x1,30,0.015028297663961389,8.48333473712792e-06,0.015019265179517124,0.015036136382845976
threshold,expanding,enet,x1,40,0.015024919780164807,4.418666631028229e-06,0.015021387293433039,0.015028386139826258
threshold,expanding,enet,x1,60,0.015028062007375092,5.2184527179144275e-06,0.01502326078304976,0.015033241087783209
threshold,expanding,enet,x1,80,0.015024597933315467,4.133558715619327e-06,0.015020835674293251,0.015028112396086856
threshold,expanding,enet,x1,100,0.015026438135035328,5.675623508924663e-06,0.015022371467166288,0.015031236459767977
threshold,expanding,enet,x1,200,0.015024665179166074,2.621512832962782e-06,0.015022471184275204,0.015026517000741377
threshold,expanding,enet,x1,500,0.015026305464356167,9.862744301889116e-07,0.015025221110781185,0.015026761311213836
threshold,expanding,enet,x1,1000,0.015026228968247889,1.593715275580592e-06,0.015025230175053448,0.015027506864099892
threshold,expanding,enet,x2,3,-0.5744086514350519,3.17553031846914e-05,-0.5744388906818741,-0.5743967365813365
threshold,expanding,enet,x2,6,-0.5744339632772006,3.1070079650036484e-05,-0.574457709128293,-0.5744018518244092
threshold,expanding,enet,x2,8,-0.5744387772364316,1.7231388270419357e-05,-0.5744457700397374,-0.5744311438255116
threshold,expanding,enet,x2,12,-0.5744305923234012,1.6218247450763452e-05,-0.5744473083634669,-0.5744162586140023
threshold,expanding,enet,x2,18,-0.5744444873437305,1.775091154956487e-05,-0.5744594530694246,-0.5744352198135271
threshold,expanding,enet,x2,30,-0.5744388570669366,1.5633335681379074e-05,-0.5744536780076597,-0.574427352359256
threshold,expanding,enet,x2,40,-0.5744327292426431,1.641464757586539e-05,-0.5744496830761207,-0.5744155359725749
threshold,expanding,enet,x2,60,-0.5744356437030806,7.359662705022388e-06,-0.5744404807589798,-0.5744284052760236
threshold,expanding,enet,x2,80,-0.5744344613566555,8.928974164961419e-06,-0.5744455047002428,-0.5744277979339999
threshold,expanding,enet,x2,100,-0.5744368719873616,9.248610471498729e-06,-0.5744464732868029,-0.5744261449953875
threshold,expanding,enet,x2,200,-0.5744351110837125,2.9235411890227965e-06,-0.5744376107753216,-0.574431579909499
threshold,expanding,enet,x2,500,-0.5744366608372397,4.582511937964951e-06,-0.5744395433180332,-0.574432051184451
threshold,expanding,enet,x2,1000,-0.5744368909768569,2.021685590798151e-06,-0.5744386767385544,-0.5744354418609708
threshold,expanding,enet,x3,3,0.0009801421329640272,2.6160038775434036e-05,0.0009611547940029089,0.0010068658472719575
threshold,expanding,enet,x3,6,0.0009935329888442618,1.7723325884576407e-05,0.0009773061092513303,0.0010069196271452663
threshold,expanding,enet,x3,8,0.000994602912523842,1.842736697172104e-05,0.0009909642324647196,0.0010063340659557894
threshold,expanding,enet,x3,12,0.0009797100913520687,9.294938230396833e-06,0.0009728327237886236,0.0009882109053338639
threshold,expanding,enet,x3,18,0.000989636366768997,1.915271755340577e-05,0.0009696854695013935,0.001011436683393028
threshold,expanding,enet,x3,30,0.0009843684173115217,1.071974467076763e-05,0.0009752909906361523,0.0009904699403773946
threshold,expanding,enet,x3,40,0.0009830218259996673,6.657551834744308e-06,0.0009762378656184638,0.000988498371065598
threshold,expanding,enet,x3,60,0.0009854192670713654,5.690541857280002e-06,0.0009819520597245113,0.000989574925515474
threshold,expanding,enet,x3,80,0.0009852335567139302,5.8485679831423886e-06,0.0009795985874809035,0.0009911903583172757
threshold,expanding,enet,x3,100,0.0009863901946723743,3.593621923526066e-06,0.0009831122194766313,0.0009893272354510917
threshold,expanding,enet,x3,200,0.000984412141448903,3.2033800874280574e-06,0.0009811154004587647,0.0009872309038552833
threshold,expanding,enet,x3,500,0.0009861845993413931,2.6830992788191803e-06,0.000984847312081112,0.0009885896987724021
threshold,expanding,enet,x3,1000,0.0009856933122868168,1.4137280085855732e-06,0.0009849460099786613,0.0009865885790766077
threshold,expanding,enet,x4,3,0.022039524858063504,2.3360888228900804e-05,0.022014915335843488,0.022063026736196898
threshold,expanding,enet,x4,6,0.02205582088969337,1.4109513822414314e-05,0.022042497145602427,0.022071799117580285
threshold,expanding,enet,x4,8,0.02204563498530805,1.60752603790365e-05,0.022033139909525417,0.02205737138282627
threshold,expanding,enet,x4,12,0.02204759976759275,1.4525689998500211e-05,0.02203176778966886,0.0220559162306329
threshold,expanding,enet,x4,18,0.022042191716590786,1.2811003016008121e-05,0.022028760169587498,0.022052323191296505
threshold,expanding,enet,x4,30,0.022036120658915324,5.323215323224873e-06,0.022032311143632383,0.022038926890385925
threshold,expanding,enet,x4,40,0.022043003851547296,8.912518451044539e-06,0.0220368078865153,0.022047449739161205
threshold,expanding,enet,x4,60,0.022038872853058306,5.789206917570561e-06,0.022032857978039277,0.022044629950840427
threshold,expanding,enet,x4,80,0.02203999297662037,5.919385394451814e-06,0.02203493109063728,0.022044690860953387
threshold,expanding,enet,x4,100,0.02204132952897239,5.918027542596582e-06,0.022037021935470826,0.02204627970935908
threshold,expanding,enet,x4,200,0.022043830771925028,3.302739915126255e-06,0.02204076615328974,0.022047038294127554
threshold,expanding,enet,x4,500,0.022041711373358575,1.6114291111956144e-06,0.022040752673300943,0.022043359923917823
threshold,expanding,enet,x4,1000,0.02204186829805404,8.093615241338143e-07,0.022041361786331145,0.022042722072193478
threshold,expanding,enet,x5,3,0.011761993917716745,2.301519610950043e-05,0.011732312242911689,0.011781609886443447
