dgp,window,model,predictor,M,mean,std,q_low,q_high
threshold,rolling,enet,x1,3,0.02400087924065759,7.135254204629412e-05,0.023946033439917597,0.024050405762744347
threshold,rolling,enet,x1,6,0.024008704295678338,3.498874080731308e-05,0.023972422678718047,0.02404010112178981
threshold,rolling,enet,x1,8,0.02403114043517982,1.9185842895459878e-05,0.024009949055520174,0.02405198289267079
threshold,rolling,enet,x1,12,0.024057300559003892,2.440904244197064e-05,0.02402677244948012,0.02407824133830618
threshold,rolling,enet,x1,18,0.02405321057213922,2.9348443412141647e-05,0.024034673839278993,0.024086929837501554
threshold,rolling,enet,x1,30,0.024048062975767222,2.918754097194116e-05,0.024012054828448193,0.024071876126979357
threshold,rolling,enet,x1,40,0.024044217142836305,1.6538938987005588e-05,0.024031921657977347,0.024052697623675557
threshold,rolling,enet,x1,60,0.024049055962822984,1.1975591835791481e-05,0.024039069153435254,0.024059511039332362
threshold,rolling,enet,x1,80,0.02404223038300175,1.6402819949586554e-05,0.024029522461268018,0.024051960597870643
threshold,rolling,enet,x1,100,0.02404426997524903,1.5876738496897435e-05,0.024030484918922144,0.0240637596894132
threshold,rolling,enet,x1,200,0.02403906744822578,8.697472309921733e-06,0.024031666773400684,0.024046918176899298
threshold,rolling,enet,x1,500,0.024045469052044837,2.4811265855609874e-06,0.024043978564467293,0.024047817166188496
threshold,rolling,enet,x1,1000,0.02404386914749366,5.4763507969348e-06,0.024040407188990198,0.02404760856005998
threshold,rolling,enet,x2,3,-0.5114753163761542,3.6868700864505605e-05,-0.5115061815152296,-0.5114261499281785
threshold,rolling,enet,x2,6,-0.5115275545818845,6.945632888639988e-05,-0.5115481150819144,-0.5114796271012504
threshold,rolling,enet,x2,8,-0.511550477383807,4.006872445652562e-05,-0.5115814347384905,-0.511508941843554
threshold,rolling,enet,x2,12,-0.5115302165568992,3.5604913398996114e-05,-0.5115624344860785,-0.5115116390894924
threshold,rolling,enet,x2,18,-0.5115626465010605,4.0583973432768936e-05,-0.5115947026898195,-0.5115290540129889
threshold,rolling,enet,x2,30,-0.5115481119956279,4.167512537227757e-05,-0.5115943865872266,-0.5115019083626184
threshold,rolling,enet,x2,40,-0.511541972946981,3.253114902539268e-05,-0.5115743704594886,-0.5115109488877213
threshold,rolling,enet,x2,60,-0.5115521507244034,1.754153604387617e-05,-0.5115679487710024,-0.5115330585980601
threshold,rolling,enet,x2,80,-0.5115386273794261,1.2961924778557778e-05,-0.5115494043904574,-0.5115293376930178
threshold,rolling,enet,x2,100,-0.511546503747754,2.0547493199819372e-05,-0.5115683661002702,-0.5115211696682513
threshold,rolling,enet,x2,200,-0.5115440729474133,7.534053522136905e-06,-0.5115494127703755,-0.5115355276809715
threshold,rolling,enet,x2,500,-0.5115461194201202,7.246268751906676e-06,-0.51155359361505,-0.5115370791967898
threshold,rolling,enet,x2,1000,-0.5115447484942357,4.956754870534969e-06,-0.5115481454614378,-0.5115424037554834
threshold,rolling,enet,x3,3,0.0028975084617992217,5.277719336825003e-05,0.002870989107021377,0.0029327992834487955
threshold,rolling,enet,x3,6,0.002918724755136479,4.180151381217856e-05,0.002886989212653449,0.0029393829728359194
threshold,rolling,enet,x3,8,0.0029081274107083006,4.831247000469288e-05,0.002874543097423419,0.0029515655267523143
threshold,rolling,enet,x3,12,0.002875644004169358,2.378819539845147e-05,0.002863959284454093,0.0028965975580825198
threshold,rolling,enet,x3,18,0.0029014511063567942,4.1775161510672125e-05,0.002860065221048292,0.0029450523954167927
threshold,rolling,enet,x3,30,0.0028889466799588855,2.4380672921802096e-05,0.0028677762089052462,0.002902215361124334
threshold,rolling,enet,x3,40,0.0028948274495469444,1.8754736661189033e-05,0.002873406341180864,0.002909529116596777
threshold,rolling,enet,x3,60,0.0028939619114922025,9.404961458660793e-06,0.0028877821040442686,0.0028998520574984848
threshold,rolling,enet,x3,80,0.002892627584285458,1.119461762386043e-05,0.002880424476230357,0.0029033419511841885
threshold,rolling,enet,x3,100,0.0028934241528308477,7.5159462670897776e-06,0.002887181073462126,0.0028997735238469003
threshold,rolling,enet,x3,200,0.002890260664830395,8.496999618510149e-06,0.0028809444741612275,0.002895778491170976
