scenario,model,feature,role,n_seeds,mean_is_gpbsv_mse,mean_oos_gpbsv_mse,std_is_gpbsv_mse,std_oos_gpbsv_mse,share_is_beneficial,share_oos_harmful,share_trap_signature
break_b08_expanding,enet,x1,signal,25,-0.9286822367642901,-0.9826880467038294,0.30790159416267787,0.29442152920678266,1.0,0.0,0.0
break_b08_expanding,enet,x2,trap,25,-0.39698159410207823,0.3252303321885978,0.19469331613635826,0.11511520951110411,1.0,1.0,1.0
break_b08_expanding,enet,x3,noise,25,-0.0009418549683020281,0.0022237648124951064,0.005018642261412776,0.007310700786757743,0.6,0.68,0.44
break_b08_expanding,enet,x4,noise,25,-0.005392464471394989,0.0011696238643843526,0.012636283295615903,0.0074381463726801746,0.72,0.64,0.48
break_b08_expanding,ols,x1,signal,25,-0.9305149748451158,-0.9867116593167815,0.31010555487585517,0.30057626712372987,1.0,0.0,0.0
break_b08_expanding,ols,x2,trap,25,-0.399600558676978,0.36355477519515716,0.20028987540167847,0.12540691724460407,1.0,1.0,1.0
break_b08_expanding,ols,x3,noise,25,-0.0016119607004165563,0.004596155869141202,0.008048903275377557,0.010257598146795041,0.56,0.72,0.4
break_b08_expanding,ols,x4,noise,25,-0.005283710470122224,0.002372858727971156,0.015117595017047096,0.008675407174051766,0.64,0.76,0.48
break_b08_expanding,rf,x1,signal,25,-1.1359368774585297,-0.9087402189434228,0.31909233261305586,0.2754115465351161,1.0,0.0,0.0
break_b08_expanding,rf,x2,trap,25,-0.5260733207467116,0.28813534239274885,0.2072553044648809,0.11116816839685255,1.0,1.0,1.0
break_b08_expanding,rf,x3,noise,25,-0.04243171395442906,0.004708973443879287,0.015275406692439826,0.011683608902419465,1.0,0.64,0.64
break_b08_expanding,rf,x4,noise,25,-0.04868765739853077,0.007081784171676252,0.022001456946936927,0.014292456919686898,1.0,0.72,0.72
