scenario,seed,model,feature,role,is_gpbsv_mse,is_gpbsv_mse_pooled,oos_gpbsv_mse,is_gpbsv_rmse,is_gpbsv_rmse_pooled,oos_gpbsv_rmse,is_base_mse,oos_base_mse,n_windows_sampled,n_instances_per_window,n_iterations,sec_oos,sec_is
break_b08_expanding,100,ols,x1,signal,-1.030505742887049,-1.0305057428870492,-0.6812629091116778,-0.4252566687847475,-0.43179134853715523,-0.2789974323187182,2.1020929051331803,1.6109939915236489,5,24,48,10.4,15.0
break_b08_expanding,100,ols,x2,trap,-0.18563718055070372,-0.18563718055070375,0.36083030802373656,-0.07751489213653931,-0.07889304676125124,0.14585313985869855,2.1020929051331803,1.6109939915236489,5,24,48,10.4,15.0
break_b08_expanding,100,ols,x3,noise,-0.001381956526741933,-0.0013819565267418736,0.0013919571742134578,-0.0006558054775840309,-0.0005120643305754404,0.0006749139432332454,2.1020929051331803,1.6109939915236489,5,24,48,10.4,15.0
break_b08_expanding,100,ols,x4,noise,-0.016079278537514466,-0.01607927853751455,0.011634264559288407,-0.00647047717578299,-0.006735719679972377,0.0049676105425732016,2.1020929051331803,1.6109939915236489,5,24,48,10.4,15.0
break_b08_expanding,100,enet,x1,signal,-1.0304923225043647,-1.030492322504365,-0.6812925779932298,-0.42525120581716325,-0.43178478030042694,-0.27901708752000726,2.1020929051331803,1.610993991523649,5,24,48,10.4,15.0
break_b08_expanding,100,enet,x2,trap,-0.18566137777315184,-0.18566137777315175,0.36073626097841505,-0.07752567795769466,-0.07890340976224373,0.14581867384476938,2.1020929051331803,1.610993991523649,5,24,48,10.4,15.0
break_b08_expanding,100,enet,x3,noise,-0.0013802503425351,-0.0013802503425350704,0.0013943627900413504,-0.0006546258821854367,-0.000511307789740891,0.0006755052394576666,2.1020929051331803,1.610993991523649,5,24,48,10.4,15.0
break_b08_expanding,100,enet,x4,noise,-0.01606416883733465,-0.016064168837334587,0.011619723108270785,-0.006464203323977995,-0.006729441379102513,0.004961646007588125,2.1020929051331803,1.610993991523649,5,24,48,10.4,15.0
break_b08_expanding,100,rf,x1,signal,-1.1680730205646368,-1.168073020564637,-0.5976849584813169,-0.5018708536086249,-0.5079692861505253,-0.24610566588618296,2.1014960893044536,1.6137468886156214,5,24,48,10.4,15.0
break_b08_expanding,100,rf,x2,trap,-0.25499757841498716,-0.25499757841498705,0.32270643120800574,-0.11890873129038189,-0.12146001448187103,0.1324050951217963,2.1014960893044536,1.6137468886156214,5,24,48,10.4,15.0
break_b08_expanding,100,rf,x3,noise,-0.03538422906186104,-0.03538422906186103,0.013732191028279312,-0.018896342728365968,-0.01997139496705265,0.006137397485864918,2.1014960893044536,1.6137468886156214,5,24,48,10.4,15.0
break_b08_expanding,100,rf,x4,noise,-0.029207532697714478,-0.02920753269771441,0.00413431024362033,-0.016449937308024958,-0.016777670270453696,0.0019764909336807274,2.1014960893044536,1.6137468886156214,5,24,48,10.4,15.0
break_b08_expanding,101,ols,x1,signal,-1.0165387204970402,-1.0165387204970402,-0.8244737180752448,-0.35628038379487403,-0.36741643472265756,-0.3277036369548678,2.669260616274664,1.8070563969007252,5,24,48,10.4,13.8
break_b08_expanding,101,ols,x2,trap,-0.35927576025963215,-0.359275760259632,0.5391664368285736,-0.12894551643802682,-0.1328846684689087,0.21728419019490727,2.669260616274664,1.8070563969007252,5,24,48,10.4,13.8
break_b08_expanding,101,ols,x3,noise,-0.007726415294799958,-0.00772641529479999,0.014815823708100745,-0.0024014597376335912,-0.0025269604755188343,0.005581610242372852,2.669260616274664,1.8070563969007252,5,24,48,10.4,13.8
break_b08_expanding,101,ols,x4,noise,-0.03128815899434501,-0.0312881589943447,0.003510302142818162,-0.011946701686659457,-0.010945047012877731,0.0015675383291593042,2.669260616274664,1.8070563969007252,5,24,48,10.4,13.8
break_b08_expanding,101,enet,x1,signal,-1.0143541258215945,-1.0143541258215942,-0.8242233618788365,-0.35547305325820844,-0.36645914940812485,-0.3280759116007355,2.669260616274664,1.8070563969007252,5,24,48,10.4,13.8
break_b08_expanding,101,enet,x2,trap,-0.36036669623837125,-0.3603666962383711,0.5268937476710187,-0.12942743538277773,-0.13319893296768578,0.2127732883711871,2.669260616274664,1.8070563969007252,5,24,48,10.4,13.8
break_b08_expanding,101,enet,x3,noise,-0.007443677731578557,-0.007443677731578548,0.013652503833034393,-0.0023357817695327963,-0.0024468349422806673,0.005159676199522529,2.669260616274664,1.8070563969007252,5,24,48,10.4,13.8
break_b08_expanding,101,enet,x4,noise,-0.0303130802621688,-0.030313080262168692,0.003266039191277832,-0.011595467199636705,-0.010618932435097843,0.0014498657930090305,2.669260616274664,1.8070563969007252,5,24,48,10.4,13.8
break_b08_expanding,101,rf,x1,signal,-1.2055590117290464,-1.2055590117290464,-0.7467252289544671,-0.4496077330419565,-0.46343669779932023,-0.29711903328182737,2.670306739358136,1.8060237832463255,5,24,48,10.4,13.8
break_b08_expanding,101,rf,x2,trap,-0.5221117187418296,-0.5221117187418297,0.37099179037712715,-0.21055676280859315,-0.21171084083903705,0.14960190354742972,2.670306739358136,1.8060237832463255,5,24,48,10.4,13.8
break_b08_expanding,101,rf,x3,noise,-0.0680119138744996,-0.06801191387449965,0.005405401703902313,-0.030045617313307828,-0.02960175212050398,0.0018452196746502729,2.670306739358136,1.8060237832463255,5,24,48,10.4,13.8
break_b08_expanding,101,rf,x4,noise,-0.06049772093391452,-0.06049772093391461,0.007809553345826582,-0.027356037929991205,-0.027068513220142282,0.0032477209493188323,2.670306739358136,1.8060237832463255,5,24,48,10.4,13.8
break_b08_expanding,102,ols,x1,signal,-1.1309128554583427,-1.1309128554583427,-1.1236303392146534,-0.4284391439683367,-0.4305016024556729,-0.43099140497650246,2.744213772464774,2.2002221350799442,5,24,48,10.4,14.2
break_b08_expanding,102,ols,x2,trap,-0.6395596113274915,-0.6395596113274914,0.39800838917237297,-0.22062781142463841,-0.2409778638426714,0.1630997287559651,2.744213772464774,2.2002221350799442,5,24,48,10.4,14.2
break_b08_expanding,102,ols,x3,noise,-0.002118503277459183,-0.002118503277459039,0.010508503754495224,-0.0005305758565040161,-0.0005929242441577882,0.003533483425633937,2.744213772464774,2.2002221350799442,5,24,48,10.4,14.2
break_b08_expanding,102,ols,x4,noise,-0.010321893331243196,-0.010321893331243075,0.0032948391534367177,-0.004014924221532807,-0.004034932980069181,0.0010450614241989825,2.744213772464774,2.2002221350799442,5,24,48,10.4,14.2
break_b08_expanding,102,enet,x1,signal,-1.1309269584207775,-1.1309269584207773,-1.1236323266062664,-0.42844064580062363,-0.43050455325959,-0.43099791069330395,2.744213772464774,2.2002221350799442,5,24,48,10.4,14.2
break_b08_expanding,102,enet,x2,trap,-0.6395492791939686,-0.6395492791939685,0.397900155623347,-0.2206246554908128,-0.2409740904574762,0.1630594314978062,2.744213772464774,2.2002221350799442,5,24,48,10.4,14.2
break_b08_expanding,102,enet,x3,noise,-0.002111256029740469,-0.00211125602974032,0.010491637324848658,-0.0005282419125444484,-0.0005906452504984583,0.0035279131787487234,2.744213772464774,2.2002221350799442,5,24,48,10.4,14.2
break_b08_expanding,102,enet,x4,noise,-0.010310612752571776,-0.01031061275257164,0.003294466650349445,-0.004010730167406839,-0.004030509032408994,0.0010451959365388834,2.744213772464774,2.2002221350799442,5,24,48,10.4,14.2
break_b08_expanding,102,rf,x1,signal,-1.2739654039365582,-1.2739654039365582,-1.0549996063101077,-0.5135580037024057,-0.5133382738903824,-0.39705164242435353,2.7432417041861905,2.2015252659621014,5,24,48,10.4,14.2
break_b08_expanding,102,rf,x2,trap,-0.7734937933763297,-0.7734937933763293,0.34251863622661133,-0.296374856062547,-0.3185293584117919,0.13550364008282473,2.7432417041861905,2.2015252659621014,5,24,48,10.4,14.2
break_b08_expanding,102,rf,x3,noise,-0.04476738437896051,-0.04476738437896046,0.0363180105397349,-0.020933782130402652,-0.020441412274631133,0.013209998710539435,2.7432417041861905,2.2015252659621014,5,24,48,10.4,14.2
break_b08_expanding,102,rf,x4,noise,-0.0338619365345396,-0.03386193653453957,0.017257308397632926,-0.01800579456675636,-0.018373415464675108,0.006606617263977019,2.7432417041861905,2.2015252659621014,5,24,48,10.4,14.2
break_b08_expanding,103,ols,x1,signal,-0.6733218837074736,-0.6733218837074736,-1.2325968863263792,-0.27320450846817773,-0.2674626681899912,-0.4370685313902311,2.0687795415907133,2.423424582419385,5,24,48,10.4,13.4
break_b08_expanding,103,ols,x2,trap,-0.2997137501867849,-0.299713750186785,0.43516796013787307,-0.12308770018686255,-0.12413288361256336,0.15651005944396848,2.0687795415907133,2.423424582419385,5,24,48,10.4,13.4
break_b08_expanding,103,ols,x3,noise,0.007131335916273124,0.007131335916273113,0.01244682015115759,0.0028802437053928676,0.002873323640169604,0.004309244841838718,2.0687795415907133,2.423424582419385,5,24,48,10.4,13.4
break_b08_expanding,103,ols,x4,noise,-0.010425673763988456,-0.0104256737639883,0.002213079601133844,-0.004276363505451184,-0.004399903951806623,0.00039476867030009455,2.0687795415907133,2.423424582419385,5,24,48,10.4,13.4
break_b08_expanding,103,enet,x1,signal,-0.6781718223088854,-0.6781718223088854,-1.197291402275295,-0.276970433914083,-0.2703029044567467,-0.42884951284633077,2.0687795415907133,2.423424582419385,5,24,48,10.4,13.4
break_b08_expanding,103,enet,x2,trap,-0.3014002845490676,-0.30140028454906753,0.3262925388881638,-0.12316425497785792,-0.12443785233029821,0.11840506592751208,2.0687795415907133,2.423424582419385,5,24,48,10.4,13.4
break_b08_expanding,103,enet,x3,noise,-1.5959455978986624e-17,0.0,0.0,-1.0639637319324418e-17,0.0,0.0,2.0687795415907133,2.423424582419385,5,24,48,10.4,13.4
