scenario,seed,model,feature,role,is_gpbsv_mse,is_gpbsv_mse_pooled,oos_gpbsv_mse,is_gpbsv_rmse,is_gpbsv_rmse_pooled,oos_gpbsv_rmse,is_base_mse,oos_base_mse,n_windows_sampled,n_instances_per_window,n_iterations,sec_oos,sec_is
persistent_rho099_rolling20,100,ols,x1,signal,-0.8618826481966242,-0.861882648196624,-0.944623394625857,-0.3614300602547388,-0.3653768223351353,-0.3502708219551763,1.91933844899706,2.2150479041918043,10,24,48,27.1,16.0
persistent_rho099_rolling20,100,ols,x2,trap,-0.04389844150118544,-0.0438984415011854,0.15229492636892453,-0.02267722521362702,-0.021111076046138866,0.0579982926021454,1.91933844899706,2.2150479041918043,10,24,48,27.1,16.0
persistent_rho099_rolling20,100,ols,x3,noise,-0.07035088256423315,-0.07035088256423312,0.09678432726521892,-0.032062243474741764,-0.031377543373871525,0.0365705403554776,1.91933844899706,2.2150479041918043,10,24,48,27.1,16.0
persistent_rho099_rolling20,100,ols,x4,noise,-0.04893894832858266,-0.04893894832858272,0.02679339220303827,-0.02487050802196212,-0.02187927316075727,0.01090026115912234,1.91933844899706,2.2150479041918043,10,24,48,27.1,16.0
persistent_rho099_rolling20,100,enet,x1,signal,-0.8288156477857417,-0.8288156477857417,-0.9520512236608095,-0.34932944688480894,-0.35197926954707776,-0.3594425950588489,1.91933844899706,2.2150479041918043,10,24,48,27.1,16.0
persistent_rho099_rolling20,100,enet,x2,trap,-0.045852474704912674,-0.04585247470491255,0.06596881150093185,-0.021986253319881376,-0.020974818726279376,0.0262362764761513,1.91933844899706,2.2150479041918043,10,24,48,27.1,16.0
persistent_rho099_rolling20,100,enet,x3,noise,-0.07039410109439145,-0.07039410109439141,0.05104163070116558,-0.03002160837300527,-0.03037353064018283,0.019861989947526592,1.91933844899706,2.2150479041918043,10,24,48,27.1,16.0
persistent_rho099_rolling20,100,enet,x4,noise,-0.05836195660795344,-0.05836195660795335,0.020115208195024246,-0.02729339654236676,-0.025040189793036596,0.00830827812339309,1.91933844899706,2.2150479041918043,10,24,48,27.1,16.0
persistent_rho099_rolling20,100,rf,x1,signal,-0.8602597822626231,-0.8602597822626231,-0.740979199999507,-0.3691326744091382,-0.3780746993271695,-0.2737187176308821,1.9204949213506313,2.220192765930668,10,24,48,27.1,16.0
persistent_rho099_rolling20,100,rf,x2,trap,-0.09475406576483228,-0.09475406576483214,-0.01356483759752943,-0.04215415084092828,-0.042067589921313465,-0.004724394607125007,1.9204949213506313,2.220192765930668,10,24,48,27.1,16.0
persistent_rho099_rolling20,100,rf,x3,noise,-0.09451701555612599,-0.09451701555612595,0.021964911866354932,-0.044326010572256755,-0.04239159619779483,0.008343325174234027,1.9204949213506313,2.220192765930668,10,24,48,27.1,16.0
persistent_rho099_rolling20,100,rf,x4,noise,-0.09344138827645228,-0.09344138827645225,0.013224961763192567,-0.04535472391360884,-0.04151287943837146,0.005155839254498765,1.9204949213506313,2.220192765930668,10,24,48,27.1,16.0
persistent_rho099_rolling20,101,ols,x1,signal,-0.8469143339412039,-0.8469143339412039,-0.745490076334411,-0.37116435305218864,-0.3720740335980921,-0.2857023040293755,1.8378264269169884,1.9948475387346838,10,24,48,26.6,16.2
persistent_rho099_rolling20,101,ols,x2,trap,-0.048284090518475715,-0.04828409051847579,0.12479407483766251,-0.022343244607348704,-0.021387203075435898,0.04996281645270051,1.8378264269169884,1.9948475387346838,10,24,48,26.6,16.2
persistent_rho099_rolling20,101,ols,x3,noise,-0.049811838457972074,-0.04981183845797207,0.09636946606828944,-0.023410349061012005,-0.022872478297057335,0.03670418292914236,1.8378264269169884,1.9948475387346838,10,24,48,26.6,16.2
persistent_rho099_rolling20,101,ols,x4,noise,-0.07666129290458519,-0.07666129290458525,0.044486864471181366,-0.03391145472708819,-0.035917953461642976,0.017501145770099584,1.8378264269169884,1.9948475387346838,10,24,48,26.6,16.2
persistent_rho099_rolling20,101,enet,x1,signal,-0.8469011936448215,-0.8469011936448213,-0.7455268057699627,-0.37116085011773975,-0.372070064055045,-0.28572490164542164,1.8378264269169882,1.9948475387346836,10,24,48,26.6,16.2
persistent_rho099_rolling20,101,enet,x2,trap,-0.04828230343749828,-0.048282303437498265,0.12469910139143625,-0.022342200688620636,-0.02138636215990102,0.04992788250905747,1.8378264269169882,1.9948475387346836,10,24,48,26.6,16.2
persistent_rho099_rolling20,101,enet,x3,noise,-0.049816930930441775,-0.049816930930441684,0.09632490966015018,-0.023412059723802597,-0.022874069403722067,0.036688328573930236,1.8378264269169882,1.9948475387346836,10,24,48,26.6,16.2
persistent_rho099_rolling20,101,enet,x4,noise,-0.07667110239665323,-0.07667110239665331,0.044439914092346905,-0.0339142762390114,-0.03592115874866151,0.017483855850638025,1.8378264269169882,1.9948475387346836,10,24,48,26.6,16.2
persistent_rho099_rolling20,101,rf,x1,signal,-0.9004089545475065,-0.9004089545475065,-0.5918292908443336,-0.4085126159545106,-0.41065191316865945,-0.22678575836684647,1.8398882117912578,2.00653342841497,10,24,48,26.6,16.2
persistent_rho099_rolling20,101,rf,x2,trap,-0.07241188798040035,-0.07241188798040028,0.00414519183095353,-0.033168208303756254,-0.03323756447764001,0.001963776722481441,1.8398882117912578,2.00653342841497,10,24,48,26.6,16.2
persistent_rho099_rolling20,101,rf,x3,noise,-0.07141034277430493,-0.07141034277430496,0.013307089298103836,-0.031367167828908506,-0.03275830196084615,0.005114643442885876,1.8398882117912578,2.00653342841497,10,24,48,26.6,16.2
