scenario,model,feature,role,n_seeds,mean_is_gpbsv_mse,mean_oos_gpbsv_mse,std_is_gpbsv_mse,std_oos_gpbsv_mse,share_is_beneficial,share_oos_harmful,share_trap_signature
persistent_rho099_rolling20,enet,x1,signal,25,-0.8874326040749305,-0.9307596380512345,0.13564562844142636,0.11233143606810833,1.0,0.0,0.0
persistent_rho099_rolling20,enet,x2,trap,25,-0.057601023320709134,0.08568226415115268,0.043259391226719464,0.04550790925140346,1.0,0.96,0.96
persistent_rho099_rolling20,enet,x3,noise,25,-0.061696549386881544,0.04365806503108811,0.02915996980709332,0.024741643713920392,1.0,0.96,0.96
persistent_rho099_rolling20,enet,x4,noise,25,-0.05134664518023906,0.039319382951690296,0.02998113133554369,0.015184525739756987,1.0,1.0,1.0
persistent_rho099_rolling20,ols,x1,signal,25,-0.91565364227118,-0.9418356728615928,0.14095997586405007,0.12073179318704544,1.0,0.0,0.0
persistent_rho099_rolling20,ols,x2,trap,25,-0.05323044154795538,0.16305388492371228,0.047584929901198496,0.049245295439437314,1.0,1.0,1.0
persistent_rho099_rolling20,ols,x3,noise,25,-0.06126496201164541,0.07530328243039565,0.0311484322911227,0.02574465390370999,1.0,1.0,1.0
persistent_rho099_rolling20,ols,x4,noise,25,-0.04815771611296735,0.07090626066310012,0.03109992322385809,0.02153469354401397,1.0,1.0,1.0
persistent_rho099_rolling20,rf,x1,signal,25,-0.965547345678214,-0.6849593067318794,0.12984910627337778,0.07711320802881268,1.0,0.0,0.0
persistent_rho099_rolling20,rf,x2,trap,25,-0.09180272458510765,0.005319450650131538,0.039184323502134265,0.023536985519829096,1.0,0.72,0.72
persistent_rho099_rolling20,rf,x3,noise,25,-0.0757470300589176,0.015732758201113462,0.029263799457267894,0.021715344632400012,1.0,0.72,0.72
persistent_rho099_rolling20,rf,x4,noise,25,-0.07467240518951207,0.01598700823529021,0.0391358522663814,0.013579219409063226,1.0,0.92,0.92
