scenario,seed,model,feature,role,is_gpbsv_mse,is_gpbsv_mse_pooled,oos_gpbsv_mse,is_gpbsv_rmse,is_gpbsv_rmse_pooled,oos_gpbsv_rmse,is_base_mse,oos_base_mse,n_windows_sampled,n_instances_per_window,n_iterations,sec_oos,sec_is
proxy_break_reverse_noisyx1_expanding,100,ols,x1,signal,-0.28829944909126515,-0.2882994490912653,-0.4958723888350933,-0.11937025807278892,-0.12167090999982566,-0.19143364322737702,1.6750408626209343,1.6506918877230476,5,24,48,10.6,13.5
proxy_break_reverse_noisyx1_expanding,100,ols,x2,trap,-0.21407914587529167,-0.21407914587529167,0.4381703139193398,-0.08841186818262887,-0.08968159857138787,0.1688354295180863,1.6750408626209343,1.6506918877230476,5,24,48,10.6,13.5
proxy_break_reverse_noisyx1_expanding,100,ols,x3,noise,-0.006000111760481608,-0.006000111760481627,8.70907757466478e-05,-0.0026560103825615505,-0.002417959761175379,-1.8064963586410243e-05,1.6750408626209343,1.6506918877230476,5,24,48,10.6,13.5
proxy_break_reverse_noisyx1_expanding,100,ols,x4,noise,0.008047533614196536,0.00804753361419644,0.0001771936511008182,0.0036965988620588875,0.003377022183586297,6.542735499531771e-05,1.6750408626209343,1.6506918877230476,5,24,48,10.6,13.5
proxy_break_reverse_noisyx1_expanding,100,enet,x1,signal,-0.2982921363124345,-0.29829213631243445,-0.4615944306230276,-0.12402026824002274,-0.12608253072562645,-0.17947912603226288,1.6750408626209345,1.6506918877230476,5,24,48,10.6,13.5
proxy_break_reverse_noisyx1_expanding,100,enet,x2,trap,-0.21333714102817578,-0.21333714102817594,0.38229734842168134,-0.08850592263993552,-0.08956087021924335,0.14824287925446508,1.6750408626209345,1.6506918877230476,5,24,48,10.6,13.5
proxy_break_reverse_noisyx1_expanding,100,enet,x3,noise,-0.000745680894918251,-0.0007456808949184296,0.0004687140740916723,-0.0003403537326014679,-0.00030212297122364273,0.0001823751443645281,1.6750408626209345,1.6506918877230476,5,24,48,10.6,13.5
proxy_break_reverse_noisyx1_expanding,100,enet,x4,noise,0.00035656664663878934,0.0003565666466387544,-0.00014447182493610342,0.00016650362231110868,0.00014702241457631438,-5.647925471658858e-05,1.6750408626209345,1.6506918877230476,5,24,48,10.6,13.5
proxy_break_reverse_noisyx1_expanding,100,rf,x1,signal,-0.4346306193944923,-0.43463061939449243,-0.45473741327728945,-0.1995114434816381,-0.1982925989441402,-0.18118079204467052,1.673686076350304,1.6516390424481238,5,24,48,10.6,13.5
proxy_break_reverse_noisyx1_expanding,100,rf,x2,trap,-0.3750688211908781,-0.3750688211908781,0.25065169695662043,-0.16733719123517934,-0.17207267973651688,0.09903461093793305,1.673686076350304,1.6516390424481238,5,24,48,10.6,13.5
proxy_break_reverse_noisyx1_expanding,100,rf,x3,noise,-0.06834270754169527,-0.0683427075416954,-0.014729011065768197,-0.03229629962630121,-0.033673386487972586,-0.005767464416303508,1.673686076350304,1.6516390424481238,5,24,48,10.6,13.5
proxy_break_reverse_noisyx1_expanding,100,rf,x4,noise,-0.045604415301996146,-0.045604415301996076,0.021248499180059655,-0.02341616419044221,-0.023623316528912735,0.00860196568234422,1.673686076350304,1.6516390424481238,5,24,48,10.6,13.5
proxy_break_reverse_noisyx1_expanding,101,ols,x1,signal,-0.7289657997311966,-0.7289657997311965,-0.801361156992113,-0.2722934717958433,-0.27739221282379795,-0.25848028668011536,2.276496330181125,2.3969392175080553,5,24,48,10.4,12.4
proxy_break_reverse_noisyx1_expanding,101,ols,x2,trap,-0.3039939048649051,-0.303993904864905,0.7034283111477304,-0.11742954297687987,-0.11519446671701232,0.22663237110278436,2.276496330181125,2.3969392175080553,5,24,48,10.4,12.4
proxy_break_reverse_noisyx1_expanding,101,ols,x3,noise,-0.002197753426630868,-0.002197753426630762,0.006076032738320944,-0.0008815750712098423,-0.000807628603776441,0.001999037165114917,2.276496330181125,2.3969392175080553,5,24,48,10.4,12.4
proxy_break_reverse_noisyx1_expanding,101,ols,x4,noise,0.015863738813692966,0.015863738813692973,0.029744748064977584,0.005008584966713068,0.005838515701857808,0.009657838900076883,2.276496330181125,2.3969392175080553,5,24,48,10.4,12.4
proxy_break_reverse_noisyx1_expanding,101,enet,x1,signal,-0.7286502808859742,-0.728650280885974,-0.7999726700087489,-0.27183147804832714,-0.277250017175987,-0.25836278803630985,2.276496330181125,2.3969392175080553,5,24,48,10.4,12.4
proxy_break_reverse_noisyx1_expanding,101,enet,x2,trap,-0.29931497653394257,-0.2993149765339426,0.6926156423877874,-0.11570859372631578,-0.11320513442780784,0.2234146252001208,2.276496330181125,2.3969392175080553,5,24,48,10.4,12.4
proxy_break_reverse_noisyx1_expanding,101,enet,x3,noise,-0.002150545437840424,-0.0021505454378404737,0.005094030552701428,-0.0008696482743210504,-0.0008038499902621477,0.0016737590068264762,2.276496330181125,2.3969392175080553,5,24,48,10.4,12.4
proxy_break_reverse_noisyx1_expanding,101,enet,x4,noise,0.014440969746775497,0.014440969746775612,0.028100852194384743,0.004535541376906914,0.00531582189169207,0.009135211095099233,2.276496330181125,2.3969392175080553,5,24,48,10.4,12.4
proxy_break_reverse_noisyx1_expanding,101,rf,x1,signal,-0.7880672874486127,-0.7880672874486123,-0.8395162969598813,-0.3220544152413811,-0.33032481354457427,-0.27074488028113564,2.273781179779499,2.3987446775840984,5,24,48,10.4,12.4
proxy_break_reverse_noisyx1_expanding,101,rf,x2,trap,-0.6711129247298028,-0.6711129247298029,0.4821536014618468,-0.28592419661846785,-0.2840279088672623,0.15050245951206992,2.273781179779499,2.3987446775840984,5,24,48,10.4,12.4
proxy_break_reverse_noisyx1_expanding,101,rf,x3,noise,-0.07374485426299987,-0.07374485426299987,-0.0357430385979897,-0.03699837703290977,-0.035488771910314694,-0.011646731613122468,2.273781179779499,2.3987446775840984,5,24,48,10.4,12.4
proxy_break_reverse_noisyx1_expanding,101,rf,x4,noise,-0.03335126478065565,-0.03335126478065555,0.03192017546439894,-0.017960659145812664,-0.01693165525308994,0.010531971137292893,2.273781179779499,2.3987446775840984,5,24,48,10.4,12.4
proxy_break_reverse_noisyx1_expanding,102,ols,x1,signal,-0.42501183170721896,-0.42501183170721896,-0.8020132071701042,-0.1632262341956365,-0.168761206848699,-0.2958123227557142,1.9543659584549045,2.001946608033811,5,24,48,10.2,13.3
proxy_break_reverse_noisyx1_expanding,102,ols,x2,trap,-0.2518197430218223,-0.2518197430218223,0.42509644261734464,-0.09816429009242031,-0.09875258613777116,0.15436387729234893,1.9543659584549045,2.001946608033811,5,24,48,10.2,13.3
proxy_break_reverse_noisyx1_expanding,102,ols,x3,noise,0.012254941114645361,0.01225494111464532,-0.038722153995799,0.0027452641669407757,0.004717866788777551,-0.014037895203106741,1.9543659584549045,2.001946608033811,5,24,48,10.2,13.3
proxy_break_reverse_noisyx1_expanding,102,ols,x4,noise,-0.011744803603408011,-0.01174480360340794,-0.0003734807325533977,-0.004286648571027396,-0.004684156137096757,-7.648595430362105e-05,1.9543659584549045,2.001946608033811,5,24,48,10.2,13.3
proxy_break_reverse_noisyx1_expanding,102,enet,x1,signal,-0.43080680231414126,-0.43080680231414137,-0.758698242769842,-0.16584527973210855,-0.17067792914592803,-0.2809459252396112,1.9543659584549045,2.001946608033811,5,24,48,10.2,13.3
proxy_break_reverse_noisyx1_expanding,102,enet,x2,trap,-0.23607653764862815,-0.23607653764862824,0.3587632202075868,-0.0923821860536669,-0.09247074281876727,0.13114391124497074,1.9543659584549045,2.001946608033811,5,24,48,10.2,13.3
proxy_break_reverse_noisyx1_expanding,102,enet,x3,noise,0.0044826216855959255,0.004482621685595986,-0.02000131519503124,0.0007891894790542288,0.0017148289752468363,-0.007298354111651519,1.9543659584549045,2.001946608033811,5,24,48,10.2,13.3
proxy_break_reverse_noisyx1_expanding,102,enet,x4,noise,-0.002278687485448755,-0.0022786874854488306,0.0012269162715938993,-0.0007808609410590537,-0.0009088779476991692,0.00046627701883404416,1.9543659584549045,2.001946608033811,5,24,48,10.2,13.3
proxy_break_reverse_noisyx1_expanding,102,rf,x1,signal,-0.6609614593830276,-0.6609614593830275,-0.7542544461467396,-0.2774928007805949,-0.28930574637489465,-0.2783214738899864,1.9553490537347638,2.0003415786116547,5,24,48,10.2,13.3
