scenario,model,feature,role,n_seeds,mean_is_gpbsv_mse,mean_oos_gpbsv_mse,std_is_gpbsv_mse,std_oos_gpbsv_mse,share_is_beneficial,share_oos_harmful,share_trap_signature
proxy_break_reverse_noisyx1_expanding,enet,x1,signal,25,-0.4868215705799726,-0.7962053426324289,0.21143582970752037,0.2635768959103666,1.0,0.0,0.0
proxy_break_reverse_noisyx1_expanding,enet,x2,trap,25,-0.24624427461473108,0.36380957801547675,0.10894937186418051,0.11501710250485014,1.0,1.0,1.0
proxy_break_reverse_noisyx1_expanding,enet,x3,noise,25,-0.00227311061436211,0.0005743771835935458,0.008975851549964201,0.008880167875474325,0.56,0.6,0.32
proxy_break_reverse_noisyx1_expanding,enet,x4,noise,25,-0.0009739080410479512,0.0018513362625514102,0.008442411352102365,0.012720495507574384,0.52,0.68,0.4
proxy_break_reverse_noisyx1_expanding,ols,x1,signal,25,-0.4820926314062668,-0.8247699484264808,0.21054540536072833,0.27195221322314744,1.0,0.0,0.0
proxy_break_reverse_noisyx1_expanding,ols,x2,trap,25,-0.2559074640642601,0.39959999710301025,0.11616602320823688,0.12247612337309714,1.0,1.0,1.0
proxy_break_reverse_noisyx1_expanding,ols,x3,noise,25,-0.00287049359838642,0.00025110918085921715,0.01292084143187639,0.014510178695444007,0.64,0.72,0.44
proxy_break_reverse_noisyx1_expanding,ols,x4,noise,25,-0.0022809010334884426,0.0028166813210828093,0.012962267522984265,0.01677874135808141,0.52,0.64,0.28
proxy_break_reverse_noisyx1_expanding,rf,x1,signal,25,-0.6496149067279532,-0.7525141626045151,0.20850500018719598,0.289393995211973,1.0,0.0,0.0
proxy_break_reverse_noisyx1_expanding,rf,x2,trap,25,-0.4423694064257222,0.23388819720820386,0.13311942656416603,0.1467436761767183,1.0,0.92,0.92
proxy_break_reverse_noisyx1_expanding,rf,x3,noise,25,-0.051503519774135836,0.0009393247554838686,0.020310864825468296,0.019318103796238672,1.0,0.56,0.56
proxy_break_reverse_noisyx1_expanding,rf,x4,noise,25,-0.05422525624323497,0.007417441786636849,0.022947366799314688,0.017365269113630188,1.0,0.64,0.64
