scenario,model,feature,role,n_seeds,mean_is_gpbsv_mse,mean_oos_gpbsv_mse,std_is_gpbsv_mse,std_oos_gpbsv_mse,share_is_beneficial,share_oos_harmful,share_trap_signature
break_b08_expanding,enet,x1,signal,25,-0.9286822367642901,-0.9826880467038294,0.30790159416267787,0.29442152920678266,1.0,0.0,0.0
break_b08_expanding,enet,x2,trap,25,-0.39698159410207823,0.3252303321885978,0.19469331613635826,0.11511520951110411,1.0,1.0,1.0
break_b08_expanding,enet,x3,noise,25,-0.0009418549683020281,0.0022237648124951064,0.005018642261412776,0.007310700786757743,0.6,0.68,0.44
break_b08_expanding,enet,x4,noise,25,-0.005392464471394989,0.0011696238643843526,0.012636283295615903,0.0074381463726801746,0.72,0.64,0.48
break_b08_expanding,ols,x1,signal,25,-0.9305149748451158,-0.9867116593167815,0.31010555487585517,0.30057626712372987,1.0,0.0,0.0
break_b08_expanding,ols,x2,trap,25,-0.399600558676978,0.36355477519515716,0.20028987540167847,0.12540691724460407,1.0,1.0,1.0
break_b08_expanding,ols,x3,noise,25,-0.0016119607004165563,0.004596155869141202,0.008048903275377557,0.010257598146795041,0.56,0.72,0.4
break_b08_expanding,ols,x4,noise,25,-0.005283710470122224,0.002372858727971156,0.015117595017047096,0.008675407174051766,0.64,0.76,0.48
break_b08_expanding,rf,x1,signal,25,-1.1359368774585297,-0.9087402189434228,0.31909233261305586,0.2754115465351161,1.0,0.0,0.0
break_b08_expanding,rf,x2,trap,25,-0.5260733207467116,0.28813534239274885,0.2072553044648809,0.11116816839685255,1.0,1.0,1.0
break_b08_expanding,rf,x3,noise,25,-0.04243171395442906,0.004708973443879287,0.015275406692439826,0.011683608902419465,1.0,0.64,0.64
break_b08_expanding,rf,x4,noise,25,-0.04868765739853077,0.007081784171676252,0.022001456946936927,0.014292456919686898,1.0,0.72,0.72
persistent_rho099_rolling20,enet,x1,signal,25,-0.8874326040749305,-0.9307596380512345,0.13564562844142636,0.11233143606810833,1.0,0.0,0.0
persistent_rho099_rolling20,enet,x2,trap,25,-0.057601023320709134,0.08568226415115268,0.043259391226719464,0.04550790925140346,1.0,0.96,0.96
persistent_rho099_rolling20,enet,x3,noise,25,-0.061696549386881544,0.04365806503108811,0.02915996980709332,0.024741643713920392,1.0,0.96,0.96
persistent_rho099_rolling20,enet,x4,noise,25,-0.05134664518023906,0.039319382951690296,0.02998113133554369,0.015184525739756987,1.0,1.0,1.0
persistent_rho099_rolling20,ols,x1,signal,25,-0.91565364227118,-0.9418356728615928,0.14095997586405007,0.12073179318704544,1.0,0.0,0.0
persistent_rho099_rolling20,ols,x2,trap,25,-0.05323044154795538,0.16305388492371228,0.047584929901198496,0.049245295439437314,1.0,1.0,1.0
persistent_rho099_rolling20,ols,x3,noise,25,-0.06126496201164541,0.07530328243039565,0.0311484322911227,0.02574465390370999,1.0,1.0,1.0
persistent_rho099_rolling20,ols,x4,noise,25,-0.04815771611296735,0.07090626066310012,0.03109992322385809,0.02153469354401397,1.0,1.0,1.0
persistent_rho099_rolling20,rf,x1,signal,25,-0.965547345678214,-0.6849593067318794,0.12984910627337778,0.07711320802881268,1.0,0.0,0.0
persistent_rho099_rolling20,rf,x2,trap,25,-0.09180272458510765,0.005319450650131538,0.039184323502134265,0.023536985519829096,1.0,0.72,0.72
persistent_rho099_rolling20,rf,x3,noise,25,-0.0757470300589176,0.015732758201113462,0.029263799457267894,0.021715344632400012,1.0,0.72,0.72
persistent_rho099_rolling20,rf,x4,noise,25,-0.07467240518951207,0.01598700823529021,0.0391358522663814,0.013579219409063226,1.0,0.92,0.92
proxy_break_reverse_noisyx1_expanding,enet,x1,signal,25,-0.4868215705799726,-0.7962053426324289,0.21143582970752037,0.2635768959103666,1.0,0.0,0.0
proxy_break_reverse_noisyx1_expanding,enet,x2,trap,25,-0.24624427461473108,0.36380957801547675,0.10894937186418051,0.11501710250485014,1.0,1.0,1.0
proxy_break_reverse_noisyx1_expanding,enet,x3,noise,25,-0.00227311061436211,0.0005743771835935458,0.008975851549964201,0.008880167875474325,0.56,0.6,0.32
proxy_break_reverse_noisyx1_expanding,enet,x4,noise,25,-0.0009739080410479512,0.0018513362625514102,0.008442411352102365,0.012720495507574384,0.52,0.68,0.4
proxy_break_reverse_noisyx1_expanding,ols,x1,signal,25,-0.4820926314062668,-0.8247699484264808,0.21054540536072833,0.27195221322314744,1.0,0.0,0.0
proxy_break_reverse_noisyx1_expanding,ols,x2,trap,25,-0.2559074640642601,0.39959999710301025,0.11616602320823688,0.12247612337309714,1.0,1.0,1.0
proxy_break_reverse_noisyx1_expanding,ols,x3,noise,25,-0.00287049359838642,0.00025110918085921715,0.01292084143187639,0.014510178695444007,0.64,0.72,0.44
proxy_break_reverse_noisyx1_expanding,ols,x4,noise,25,-0.0022809010334884426,0.0028166813210828093,0.012962267522984265,0.01677874135808141,0.52,0.64,0.28
proxy_break_reverse_noisyx1_expanding,rf,x1,signal,25,-0.6496149067279532,-0.7525141626045151,0.20850500018719598,0.289393995211973,1.0,0.0,0.0
proxy_break_reverse_noisyx1_expanding,rf,x2,trap,25,-0.4423694064257222,0.23388819720820386,0.13311942656416603,0.1467436761767183,1.0,0.92,0.92
proxy_break_reverse_noisyx1_expanding,rf,x3,noise,25,-0.051503519774135836,0.0009393247554838686,0.020310864825468296,0.019318103796238672,1.0,0.56,0.56
proxy_break_reverse_noisyx1_expanding,rf,x4,noise,25,-0.05422525624323497,0.007417441786636849,0.022947366799314688,0.017365269113630188,1.0,0.64,0.64
