model,feature,mean_oShapley,median_oShapley,mean_GPBSV,median_GPBSV
enet,x1,0.7862527731588612,0.785318335126513,-0.94622846083689,-0.9717252017603373
enet,x2,0.4819684744014265,0.4795785183464293,0.3350244255845725,0.35843454790404783
enet,x3,0.029003939595729732,0.02359588355366998,0.002884992241104234,0.0024337770356472306
enet,x4,0.02633111096783647,0.02192352389427995,0.0026413326489766807,0.0034252503811230814
ols,x1,0.8139618717034548,0.842391839752579,-0.9482413820416535,-0.9761744629565899
ols,x2,0.5051868886491554,0.5147975405861982,0.37001724390208174,0.38445626685260204
ols,x3,0.042539195389057066,0.03062548202938007,0.0047528548428040565,0.0033431224923184512
ols,x4,0.03448666805605583,0.029145964413799318,0.003877258653580389,0.0036140947797167512
rf,x1,0.7917858086505203,0.797176122938326,-0.8718342978451575,-0.8686860059331485
rf,x2,0.4645843241781195,0.47517009217835054,0.3000455926546333,0.31175189580902674
rf,x3,0.04726231786219349,0.04291232435613272,0.006329463753295124,0.006530465837680702
rf,x4,0.04543182716236442,0.045190998920434475,0.009025802729948938,0.007645580145629824
