scenario,seed,model,true_role,oShapley_VI,VI_rank,GPBSV_MSE,GPBSV_RMSE,interpretation,avg_abs_tstat,frac_signif_5pct,avg_std_beta,ape_abs_beta,perm_import_train,pdp_range,feature,enet_std_coef,enet_ape_abs_coef,rf_oob_vi,rf_ape
break_b15_expanding,100,ols,signal,0.8013191152450821,2,-0.7587490311247328,-0.27031587011972336,beneficial,14.459358044391553,1.0,0.5604743634373833,1.0703499711871618,2.2547094673021393,3.5236439953063945,x1,,,,
break_b15_expanding,100,ols,trap,0.9210343041756311,1,1.3367476219629184,0.4795454000302158,harmful,15.645917976904792,1.0,0.6055720882348495,1.1476183011105423,2.796787976167567,3.8299005038617784,x2,,,,
break_b15_expanding,100,ols,noise,0.016780656605050594,4,0.0016733610869269033,0.0005767423409386907,near-zero,0.2654881166204549,0.0,0.010241478061354826,0.020078610949266308,0.0008236372292294784,0.0534157216120343,x3,,,,
break_b15_expanding,100,ols,noise,0.04218132157374529,3,0.013910514071445182,0.005480994223923411,near-zero,0.6617730587738179,0.0,0.02559671137936147,0.04887059295252931,0.0052062100436911386,0.1524802957694795,x4,,,,
break_b15_expanding,101,ols,signal,0.7317928346050325,2,-0.7919326033154545,-0.2883524349683139,beneficial,12.030164075674412,1.0,0.4860398926210137,0.9150519099232928,1.6972799524931717,2.989774134585832,x1,,,,
break_b15_expanding,101,ols,trap,0.9791082365334144,1,1.6992119116107762,0.5896753724321713,harmful,13.83050100409419,1.0,0.5586372674383638,1.1264440777761606,2.4324307141335875,3.4701551574487106,x2,,,,
break_b15_expanding,101,ols,noise,0.025160221200166862,4,0.01782524525432471,0.0053070906905050225,near-zero,0.35119764081226906,0.0,0.01401121113983907,0.027235155635610464,0.002573745620066594,0.10632588385493084,x3,,,,
break_b15_expanding,101,ols,noise,0.0968723979620559,3,-0.01021632500880628,-0.001064084691766446,near-zero,1.7316827779154005,0.17647058823529413,0.07040573274489048,0.12445239866707138,0.029494976634558023,0.4507522065025119,x4,,,,
break_b15_expanding,102,ols,signal,0.8291333730036765,2,-1.0304708952448218,-0.3695275287048706,beneficial,12.094297560446998,1.0,0.472237525436247,0.9572531809042052,1.676009429011306,2.9289123017439054,x1,,,,
break_b15_expanding,102,ols,trap,0.9826522932163672,1,1.4204244297970194,0.4948974717999991,harmful,14.741702664765267,1.0,0.5797272418834011,1.1403038659061244,2.618026737503503,3.70866651788536,x2,,,,
break_b15_expanding,102,ols,noise,0.02797012578478188,4,0.013489480680356507,0.004249058663579399,near-zero,0.5193573399308875,0.0,0.020357801581331297,0.03634162130389467,0.00401509518768599,0.13637296792471054,x3,,,,
break_b15_expanding,102,ols,noise,0.0515918638471803,3,-0.00030104135981680433,0.00022976828835762406,near-zero,0.8648915967706232,0.0,0.03393049383707086,0.06800703528146385,0.005963397207395544,0.17651510030836645,x4,,,,
break_b15_expanding,103,ols,signal,0.8536872621225245,2,-1.2566249653602604,-0.4033380972470359,beneficial,12.590604170329197,1.0,0.5043220588783827,1.0097952170113984,1.945399542554006,3.2425511359986663,x1,,,,
break_b15_expanding,103,ols,trap,1.0274052565896759,1,1.5845329357921651,0.5056336217322231,harmful,16.141268983963272,1.0,0.6409833588565766,1.1657313233852378,3.4811898849801777,4.399189226380248,x2,,,,
break_b15_expanding,103,ols,noise,0.022022255531676985,4,0.014477328936427591,0.004302539454818132,near-zero,0.3027384411501209,0.0,0.012077446627248049,0.025296065431688587,0.0016319345341473568,0.08484859037515294,x3,,,,
break_b15_expanding,103,ols,noise,0.05660159543363141,3,0.004862157558130121,0.0011303104703752865,near-zero,0.975409795500273,0.0,0.038787653037115774,0.07800154483936364,0.007350149838507227,0.22254268628326904,x4,,,,
break_b15_expanding,104,ols,signal,0.8722282710129006,1,-1.1437970111308784,-0.3897169790373622,beneficial,15.296850669037445,1.0,0.5715551187980589,1.0034304466013924,2.3976559843231966,3.717788615731302,x1,,,,
break_b15_expanding,104,ols,trap,0.8618599050278583,2,1.1186824636709036,0.3809325340382494,harmful,13.778065270594196,1.0,0.5144014049259832,1.0807377418675297,2.054728659534593,3.1922171074250634,x2,,,,
break_b15_expanding,104,ols,noise,0.02561365387487464,4,0.0013549188605596484,0.000426775515389658,near-zero,0.4432561920127188,0.0,0.0164656177394954,0.032170266408141066,0.003826224145210715,0.11620587042462495,x3,,,,
break_b15_expanding,104,ols,noise,0.10459405951137804,3,0.00262740417253052,0.0015840926044656323,near-zero,1.7608064013789342,0.3445378151260504,0.06596079042344685,0.11499279231451333,0.03156297464255558,0.4357845515862245,x4,,,,
break_b15_expanding,105,ols,signal,0.7904573645104068,2,-0.852292504688105,-0.3268468386716789,beneficial,12.815294051293339,1.0,0.5153742308879543,1.015758994050893,1.6980508112379809,2.955681390784824,x1,,,,
break_b15_expanding,105,ols,trap,0.8740214900678493,1,0.9663513132765366,0.36776713268743255,harmful,15.262619498993956,1.0,0.6117985072835453,1.186029003945726,2.5443265719561827,3.738865483235588,x2,,,,
break_b15_expanding,105,ols,noise,0.09419934350010983,3,-0.018375771124589997,-0.006924738792293954,near-zero,1.5658034632418925,0.0,0.06288300058666989,0.1028329116161408,0.02697377940059645,0.3852699439640818,x3,,,,
break_b15_expanding,105,ols,noise,0.054798245048893586,4,0.01871019868433416,0.007159743448663456,near-zero,0.8994680377738207,0.0,0.036114123091902615,0.06804676845053846,0.009556241582491496,0.22345849771143614,x4,,,,
break_b15_expanding,106,ols,signal,0.765961175458402,2,-0.7281078514230761,-0.23860736545826355,beneficial,12.295489582413685,1.0,0.4758660202720442,1.03827851245494,1.847547585960969,3.2332878756129912,x1,,,,
break_b15_expanding,106,ols,trap,1.14147602636115,1,1.8460541341132284,0.5967968540362021,harmful,16.99502970492675,1.0,0.6567976889663015,1.198230199171442,3.931194709460008,4.7072172986495975,x2,,,,
break_b15_expanding,106,ols,noise,0.06426536835967661,3,0.007068483823082989,0.002161527466517712,near-zero,0.9391812680048643,0.008403361344537815,0.03623788358969353,0.0753310019277128,0.023341975001099337,0.3094145843452115,x3,,,,
break_b15_expanding,106,ols,noise,0.016468047591650062,4,0.005298169372885225,0.0012345595918352582,near-zero,0.21623876441676346,0.0,0.008317328929186322,0.017250979879443244,0.0016419534880807696,0.06758245451843663,x4,,,,
break_b15_expanding,107,ols,signal,0.9306935848130632,2,-0.7977943379329591,-0.26322577378050577,beneficial,14.792611301168954,1.0,0.5278928135017503,0.9851858826724526,2.3400141368837843,3.707384780460761,x1,,,,
break_b15_expanding,107,ols,trap,1.0297896021844684,1,1.6709196524336405,0.5345395800419308,harmful,16.287346350141338,1.0,0.5800096307890134,1.2130693305343077,3.1215414555510472,3.907194159771608,x2,,,,
break_b15_expanding,107,ols,noise,0.10397685497151132,3,0.008332449312127644,0.003009136452118052,near-zero,1.5657684236504996,0.08403361344537816,0.055870677708609436,0.11565344258290165,0.022349528447119127,0.3187516519296188,x3,,,,
break_b15_expanding,107,ols,noise,0.038373105568116815,4,-0.003925210181705334,-0.0008391884467195742,near-zero,0.6054016898204547,0.0,0.021188136985722632,0.046170302843541115,0.004875883467363182,0.1354884832231052,x4,,,,
break_b15_expanding,108,ols,signal,0.8443497048681592,2,-1.193637811769164,-0.4113227788490203,beneficial,13.303301540178731,1.0,0.5303950438806219,1.0008195780613374,2.022095236209009,3.1911294893939592,x1,,,,
break_b15_expanding,108,ols,trap,0.9934784444190856,1,1.3511814468098782,0.4615039346031026,harmful,15.05299599682051,1.0,0.5935863885990099,1.1460942344248444,2.623621729999349,3.6604165729622986,x2,,,,
break_b15_expanding,108,ols,noise,0.016471056042885242,4,0.009524472544919716,0.0030199602327105487,near-zero,0.25734583695931085,0.0,0.010182211643755544,0.01973916645227517,0.0014416768054338262,0.07180235634236012,x3,,,,
break_b15_expanding,108,ols,noise,0.06542646956733336,3,-0.021379548815778027,-0.007312915599664952,beneficial,1.1125072841605914,0.0,0.044568057059875724,0.09098878404447397,0.01984460449087212,0.3025215786255305,x4,,,,
break_b15_expanding,109,ols,signal,0.9085324781922224,1,-1.2707519499709061,-0.42698211447925305,beneficial,14.003186506321649,1.0,0.551013893024079,1.0377083224319226,2.1379172910400204,3.362827976637174,x1,,,,
break_b15_expanding,109,ols,trap,0.9058230062765206,2,1.4454358021679319,0.4837373375337134,harmful,12.74181716174479,1.0,0.5064217065048686,1.0090572429644804,1.939365629245528,3.193740043168374,x2,,,,
break_b15_expanding,109,ols,noise,0.04443390648882598,3,-0.002509947117241419,-0.0007027705111351235,near-zero,0.810982277869546,0.0,0.0321884618257539,0.06498426917080577,0.007157578964234348,0.1806639164006484,x3,,,,
break_b15_expanding,109,ols,noise,0.027259454220881642,4,-0.005937833094293541,-0.0022118832244589904,near-zero,0.4708084236204561,0.0,0.018398478765479058,0.03195270970150445,0.005424501284084344,0.12199370931091415,x4,,,,
break_b15_expanding,110,ols,signal,0.8637246715539953,1,-1.3114922624609977,-0.4525283618367645,beneficial,12.971065055661487,1.0,0.4859249078892971,0.9744627889307316,1.6995412173505404,3.0469184021635294,x1,,,,
break_b15_expanding,110,ols,trap,0.8328377394184429,2,0.8605399935411555,0.29921295507786505,harmful,16.2984368421738,1.0,0.604430475501448,1.3204302944001465,2.670446075292056,3.8155148592825134,x2,,,,
break_b15_expanding,110,ols,noise,0.05433975146022309,3,-0.0025900127886309345,-0.0005107363434912871,near-zero,0.9690295167377341,0.0,0.03590536412427184,0.06462085025886642,0.010911099273932849,0.2454763040316998,x3,,,,
break_b15_expanding,110,ols,noise,0.04360489738928068,4,0.017548568032837945,0.005799872489684779,near-zero,0.6934131130073036,0.0,0.02582360912255637,0.04955835206751865,0.0035710384036653385,0.12930299071018034,x4,,,,
break_b15_expanding,111,ols,signal,0.6756656572888304,2,-0.20966733969604115,-0.0908023288472167,beneficial,13.247171087595394,1.0,0.4518442678862882,1.0673851135646688,1.6902421670605126,3.061795816857241,x1,,,,
break_b15_expanding,111,ols,trap,1.076212036299793,1,1.122313674088811,0.4338524834666023,harmful,19.556987565610896,1.0,0.6702290127331814,1.2998042408275767,3.89622664346112,4.38940809473119,x2,,,,
break_b15_expanding,111,ols,noise,0.06801039408377538,3,-0.006346057231648269,-0.0023545320483203624,near-zero,1.1168541847628526,0.16806722689075632,0.038480833355203484,0.07898433509060493,0.015514439278832797,0.21167312717936665,x3,,,,
break_b15_expanding,111,ols,noise,0.02522613575571457,4,0.006325597412378457,0.0023365478779301422,near-zero,0.4865820162824697,0.0,0.016529426699136877,0.03679725255450001,0.003405107855245409,0.12643429137107462,x4,,,,
break_b15_expanding,112,ols,signal,0.7190205448270351,2,-0.5683159661447287,-0.22206438747125354,beneficial,12.34705491612934,1.0,0.5112994297699118,0.8573086056530815,1.6673515062077418,2.9237240811209118,x1,,,,
break_b15_expanding,112,ols,trap,0.8369739597372835,1,1.394839757360068,0.5134753301959386,harmful,12.301984751669195,1.0,0.5047788143217045,0.9315822844583092,1.7937951943012902,2.9587159893333816,x2,,,,
break_b15_expanding,112,ols,noise,0.0303760278080248,4,-0.01294121167273093,-0.004620647455067686,near-zero,0.5743155741994439,0.0,0.02370347043617332,0.044753523767426084,0.006358866635594371,0.16934105067458102,x3,,,,
break_b15_expanding,112,ols,noise,0.03409878665742951,3,0.00476300072172012,0.001669151134886913,near-zero,0.5535120303588491,0.0,0.02286428861479485,0.04460679296432611,0.003721791977354133,0.12213173825049715,x4,,,,
break_b15_expanding,113,ols,signal,1.0577783174818702,1,-1.1670125996646252,-0.3960704417579701,beneficial,15.375526085336602,1.0,0.5748346580557182,1.1796519046462814,2.5227990252878483,3.6692688946412937,x1,,,,
break_b15_expanding,113,ols,trap,0.8197363142375681,2,1.26735357970421,0.4319750239610712,harmful,14.07042981560918,1.0,0.5244120132169,1.1992187610241456,2.3357962021864083,3.5160040057174466,x2,,,,
break_b15_expanding,113,ols,noise,0.015915500689046513,3,0.0049172978836079404,0.0016731602715202134,near-zero,0.2663164189208521,0.0,0.009924109656393962,0.022425063216592583,0.00019779717948574733,0.036302507355068285,x3,,,,
break_b15_expanding,113,ols,noise,0.015502027096483068,4,0.006916319226987828,0.002290847204735099,near-zero,0.19775323413451287,0.0,0.0073834195767243545,0.015752483983976388,0.0007855771858349168,0.0720764486521702,x4,,,,
break_b15_expanding,114,ols,signal,0.6810265292741189,2,-0.9035210934463668,-0.33615131667747017,beneficial,12.41005146575958,1.0,0.4950041474157466,0.9958860359969058,1.4968375598806845,2.8626042365763444,x1,,,,
break_b15_expanding,114,ols,trap,0.937846230151796,1,1.2066065719785175,0.4444054060100391,harmful,15.666426844858384,1.0,0.6236192248018179,1.2669914523538468,2.5155734199226583,3.5707824792451515,x2,,,,
break_b15_expanding,114,ols,noise,0.08795270716196042,3,0.010769712903254632,0.005071969663905971,near-zero,1.3385736025311843,0.0,0.05305723700472389,0.0982480007484874,0.016070798993850402,0.27553769799423866,x3,,,,
break_b15_expanding,114,ols,noise,0.013450388571416037,4,3.9483829466135935e-05,1.9682708894745997e-05,near-zero,0.28418468158619786,0.0,0.011355616724753086,0.0187048449054216,0.00056585535481435,0.061173091783445564,x4,,,,
break_b15_expanding,115,ols,signal,0.6446640374116529,2,-0.4576061959966108,-0.18376743851116825,beneficial,10.333147545536637,1.0,0.4405240853532652,0.8627629860185705,1.1710373183403542,2.456198189958565,x1,,,,
break_b15_expanding,115,ols,trap,0.946510661044068,1,1.0921796021980403,0.4009791978666014,harmful,13.24964730021869,1.0,0.5645616588142214,1.063380895266231,1.9961915119970413,3.152338999002612,x2,,,,
break_b15_expanding,115,ols,noise,0.03033767250666756,4,0.003649497365664675,0.0012714883978981386,near-zero,0.6218772510289774,0.0,0.026451234431365676,0.04196179801545707,0.006664490432191013,0.14576120498814454,x3,,,,
break_b15_expanding,115,ols,noise,0.06008566571961081,3,0.003305357866090104,0.001921782973894488,near-zero,0.9134358720905708,0.0,0.03905577064249333,0.07124527742002497,0.00626312331534091,0.17974495609797808,x4,,,,
break_b15_expanding,116,ols,signal,0.9123618501007068,2,-1.3223780999071633,-0.4590567457544333,beneficial,13.97445899738039,1.0,0.4667532166415483,1.0396185492969192,1.7777032401023993,3.0114232334921227,x1,,,,
break_b15_expanding,116,ols,trap,0.9418065527783156,1,1.2794998296371285,0.4442169311226672,harmful,20.81807474050753,1.0,0.6974551044908713,1.3141099417386544,4.2476396447871085,4.485304244365975,x2,,,,
