model,feature,mean_oShapley,median_oShapley,mean_GPBSV,median_GPBSV
enet,x1,0.7161069422126188,0.7137589311338415,-0.9335720603651954,-0.9457621429535542
enet,x2,0.1760988996214483,0.16717020816051187,0.0865075762957743,0.07595054646383798
enet,x3,0.12698004865056567,0.122923869094126,0.04393978059120505,0.04171810369544786
enet,x4,0.12948947060406507,0.1278517321383537,0.037912540481271226,0.03927521874441088
ols,x1,0.8073461768715899,0.8143146598333126,-0.9422514162678294,-0.9503697712198326
ols,x2,0.26120747339265504,0.25534238087463457,0.1645591411272947,0.15669385660378538
ols,x3,0.1819699557144065,0.1850704296211404,0.07440200536828495,0.07808238107958837
ols,x4,0.18610000475445426,0.18337439797250854,0.06667362805300889,0.06746447883530958
rf,x1,0.6157187435571017,0.6257919222898222,-0.6933507425758674,-0.6881311245800196
rf,x2,0.08615718284344069,0.08332059506133167,0.002791857244076527,0.00630446199407594
rf,x3,0.06473063553820531,0.061161991412536906,0.01660843104451434,0.019680925395325993
rf,x4,0.06650868976277906,0.06558462326889725,0.017002917589504528,0.014902384033368486
