scenario,seed,model,n_periods,enet_alpha,mse_baseline,mse_full,mse_drop_x2,improve_pct,x2_pbsv_mse,x2_oshapley_rank,primary_success,smoking_gun_top2,strict_rank1,model_beats_baseline,drop_x2_improves,mas,mas_p,rank_x2_abs_t,rank_x2_std_beta,rank_x2_ape,rank_x2_perm,rank_x2_pdp,rank_x2_std_coef,rank_x2_oob_vi,rank_x2_rf_ape
persistent_rho099_rolling20,100,ols,399,0.1,2.2150479041918043,1.546297155403129,1.3436057446253789,13.108179761535379,0.15229492636892464,2,False,False,False,True,True,0.07698383705803336,0.486603,3.0,4.0,1.0,4,4,,,
persistent_rho099_rolling20,100,enet,399,0.1,2.2150479041918043,1.4001223309281166,1.3016695623017704,7.031726189316864,0.06596881150093167,2,False,False,False,True,True,0.1623343733234417,0.484075,,,2.0,4,4,4.0,,
persistent_rho099_rolling20,100,rf,399,0.1,2.2150479041918043,1.5008386019631794,1.4802127083584684,1.3742912514197867,-0.013593373629588625,2,False,False,False,True,True,0.7126779199599638,0.177487,,,,3,4,,3.0,2.0
persistent_rho099_rolling20,101,ols,399,0.0001,1.9948475387346836,1.5150078677774064,1.3587117263271873,10.316523417103665,0.12479407483766247,2,False,False,False,True,True,0.09013178080200446,0.479314,4.0,4.0,2.0,4,4,,,
persistent_rho099_rolling20,101,enet,399,0.0001,1.9948475387346836,1.5147846581086537,1.358597164457052,10.310871107356999,0.12469910139143627,2,False,False,False,True,True,0.09024071932762967,0.478038,,,2.0,4,4,4.0,,
persistent_rho099_rolling20,101,rf,399,0.0001,1.9948475387346836,1.4368437013058362,1.4017492566223078,2.4424677960194123,0.0041708055935476265,2,False,False,False,True,True,0.3357602317249738,0.438581,,,,2,4,,2.0,2.0
persistent_rho099_rolling20,102,ols,399,0.1,2.25299472923877,1.5481384219908922,1.319451164198999,14.771757779759996,0.2304373630669345,2,False,False,False,True,True,0.055483112811839486,0.510114,2.0,2.0,1.0,2,3,,,
persistent_rho099_rolling20,102,enet,399,0.1,2.25299472923877,1.3788813444931733,1.2562976579427676,8.890082314911806,0.11085695675836973,2,False,False,False,True,True,0.15339993008934505,0.490149,,,2.0,3,2,2.0,,
persistent_rho099_rolling20,102,rf,399,0.1,2.25299472923877,1.551046879903831,1.547955115027278,0.19933407020842966,-0.001765114830925822,2,False,False,False,True,True,0.908895016141162,0.043742,,,,3,2,,2.0,2.0
persistent_rho099_rolling20,103,ols,399,0.1,2.227430029857677,1.5625784982494124,1.3657678406984002,12.595249312050761,0.2207601072751971,2,False,False,False,True,True,0.10386378162819876,0.472726,4.0,4.0,2.0,2,2,,,
persistent_rho099_rolling20,103,enet,399,0.1,2.227430029857677,1.4180131748610207,1.3063647311387283,7.873582961119884,0.13094698501670649,2,True,False,False,True,True,0.1809477416280577,0.471654,,,1.0,2,2,2.0,,
persistent_rho099_rolling20,103,rf,399,0.1,2.227430029857677,1.523860625020264,1.5062975451662202,1.152538464848796,-0.007928405404322388,2,False,False,False,True,True,0.9277543970214962,0.03413,,,,4,3,,3.0,2.0
persistent_rho099_rolling20,104,ols,399,0.1,2.3827567691416918,1.5689772534557391,1.3504634161524267,13.927151386167417,0.23107707927011817,2,False,False,False,True,True,0.0805058147164448,0.489706,3.0,3.0,1.0,3,3,,,
persistent_rho099_rolling20,104,enet,399,0.1,2.3827567691416918,1.4019559661995353,1.2913179400337582,7.891690526179508,0.10614906801488992,2,False,False,False,True,True,0.1797019049044163,0.483587,,,1.0,3,3,3.0,,
persistent_rho099_rolling20,104,rf,399,0.1,2.3827567691416918,1.6351747467571711,1.5547571756442307,4.917980250882797,0.021294800708432256,2,False,False,False,True,True,0.3244298168515709,0.457354,,,,2,2,,3.0,1.0
persistent_rho099_rolling20,105,ols,399,0.1,2.120952452522706,1.4322535791516098,1.2955551616348284,9.544288770271683,0.14197227485239158,2,False,False,False,True,True,0.09629735931838423,0.481485,3.0,3.0,1.0,4,4,,,
persistent_rho099_rolling20,105,enet,399,0.1,2.120952452522706,1.3181161473735825,1.2458906532370257,5.479448399177111,0.072736321874949,2,False,False,False,True,True,0.19942048209416596,0.488761,,,2.0,3,4,4.0,,
persistent_rho099_rolling20,105,rf,399,0.1,2.120952452522706,1.487764853858282,1.4588028144565706,1.9466812464754044,0.024374040488628106,3,False,False,False,True,True,0.32910153958124333,0.496557,,,,2,2,,3.0,1.0
persistent_rho099_rolling20,106,ols,399,0.1,1.9516374771202927,1.4715086955115377,1.2821482392570394,12.868456491768901,0.1723697758409436,2,False,False,False,True,True,0.07366374461939018,0.489128,3.0,3.0,2.0,2,3,,,
persistent_rho099_rolling20,106,enet,399,0.1,1.9516374771202927,1.3014194656990705,1.2099199048883813,7.030750901020165,0.07018156804453976,2,False,False,False,True,True,0.16495532333151763,0.499817,,,1.0,2,3,2.0,,
persistent_rho099_rolling20,106,rf,399,0.1,1.9516374771202927,1.304094910453746,1.28889830774664,1.1652988279678578,-0.0013889394911438745,2,False,False,False,True,True,0.7149528017397395,0.177307,,,,2,2,,2.0,1.0
