model,feature,mean_oShapley,median_oShapley,mean_GPBSV,median_GPBSV
enet,x1,0.4855727574701394,0.4831742771284895,-0.7962053426324289,-0.7627206810639259
enet,x2,0.16878687299216621,0.17362901055594732,0.3638095780154768,0.3587632202075868
enet,x3,0.0191917773320399,0.014375151895279934,0.000574377183593532,4.688560108491834e-05
enet,x4,0.027180890088241455,0.013471562134204655,0.0018513362625513772,0.0006738058058583168
ols,x1,0.5202079059274403,0.5092764810097162,-0.824769948426481,-0.8013611569921127
ols,x2,0.18560819450927002,0.1935480450312397,0.39959999710301025,0.3941305001242874
ols,x3,0.039194438261431395,0.036035567146855935,0.00025110918085923374,0.0033053402641436253
ols,x4,0.048702375347279905,0.039178230434204916,0.0028166813210827846,0.0039061695457585227
rf,x1,0.5447821059655761,0.5637378589024118,-0.7524046222241841,-0.7541310056764401
rf,x2,0.20647431154247017,0.19388500602559575,0.23368574596053387,0.24976263552647204
rf,x3,0.05947654329834466,0.05430215311429645,0.000967798826026553,0.0033500417276478385
rf,x4,0.05279270337172801,0.050149232284804286,0.007481878583433398,0.010026986986507754
