scenario,seed,model,n_periods,enet_alpha,mse_baseline,mse_full,mse_drop_x2,improve_pct,x2_pbsv_mse,x2_oshapley_rank,primary_success,smoking_gun_top2,strict_rank1,model_beats_baseline,drop_x2_improves,mas,mas_p,rank_x2_abs_t,rank_x2_std_beta,rank_x2_ape,rank_x2_perm,rank_x2_pdp,rank_x2_std_coef,rank_x2_oob_vi,rank_x2_rf_ape
proxy_break_reverse_noisyx1_expanding,100,ols,119,0.1,1.6506918877230476,1.593254097234142,1.2458387281578138,21.80539624404133,0.43817031391934,2,True,True,False,True,True,-0.14321513207508074,0.633111,2.0,2.0,2.0,2,2,,,
proxy_break_reverse_noisyx1_expanding,100,enet,119,0.1,1.6506918877230476,1.571719047770857,1.2379988023143362,21.232818036393372,0.3822973484216813,2,True,True,False,True,True,0.30804337790778435,0.411309,,,2.0,2,2,2.0,,
proxy_break_reverse_noisyx1_expanding,100,rf,119,0.1,1.6506918877230476,1.4540728142417463,1.3420178871272517,7.7062803194575755,0.24976263552647204,2,True,False,False,True,True,0.34998768418522075,0.375154,,,,1,1,,1.0,1.0
proxy_break_reverse_noisyx1_expanding,101,ols,119,0.01,2.3969392175080553,2.3348271524669713,1.5989545944083992,31.517217764109493,0.7034283111477305,2,True,True,False,True,True,-0.11449244879303766,0.646307,2.0,2.0,2.0,2,2,,,
proxy_break_reverse_noisyx1_expanding,101,enet,119,0.01,2.3969392175080553,2.32277707263418,1.5965517842323764,31.265389044770316,0.6926156423877876,2,True,True,False,True,True,-0.11250650986025801,0.646656,,,2.0,2,2,2.0,,
proxy_break_reverse_noisyx1_expanding,101,rf,119,0.01,2.3969392175080553,2.037559118952473,1.6775069697909315,17.670758399719343,0.4808883141570085,2,True,True,False,True,True,0.30020107628197634,0.374816,,,,1,1,,1.0,1.0
proxy_break_reverse_noisyx1_expanding,102,ols,119,0.1,2.001946608033811,1.585934208752699,1.2159691594550068,23.32789388461841,0.42509644261734464,2,True,True,False,True,True,0.7044673215415285,0.156148,2.0,2.0,2.0,2,2,,,
proxy_break_reverse_noisyx1_expanding,102,enet,119,0.1,2.001946608033811,1.5832371865481185,1.23528319411969,21.97737618752257,0.3587632202075868,2,True,True,False,True,True,0.44796228215329625,0.334331,,,2.0,2,2,2.0,,
proxy_break_reverse_noisyx1_expanding,102,rf,119,0.1,2.001946608033811,1.4636640278531465,1.3141877518209224,10.212471795967476,0.2581999663483028,2,True,True,False,True,True,0.7634266364610107,0.125625,,,,2,1,,2.0,2.0
proxy_break_reverse_noisyx1_expanding,103,ols,119,0.1,1.969804302250069,1.6561060474876803,1.245444904339885,24.796790264172394,0.4441666494174332,2,True,True,False,True,True,0.45756107869929896,0.339374,2.0,2.0,2.0,2,2,,,
proxy_break_reverse_noisyx1_expanding,103,enet,119,0.1,1.969804302250069,1.6482814356696636,1.2497657862669485,24.17764592736593,0.39856884286447153,2,True,True,False,True,True,0.45773961355867177,0.338796,,,2.0,2,2,2.0,,
proxy_break_reverse_noisyx1_expanding,103,rf,119,0.1,1.969804302250069,1.5691405499757924,1.2987915294324868,17.229114405811284,0.26254440611803515,2,True,True,False,True,True,0.48074487304859737,0.354011,,,,2,1,,2.0,2.0
proxy_break_reverse_noisyx1_expanding,104,ols,119,0.1,2.108602205172745,1.714244544056857,1.2288712242702096,28.314123645275483,0.5100130168937566,2,True,True,False,True,True,0.4884282297624808,0.338837,2.0,2.0,2.0,2,2,,,
proxy_break_reverse_noisyx1_expanding,104,enet,119,0.1,2.108602205172745,1.6762643350957915,1.2285643752093376,26.708195748904348,0.4463005351811684,2,True,True,False,True,True,0.7429920700979631,0.17215,,,2.0,2,2,2.0,,
proxy_break_reverse_noisyx1_expanding,104,rf,119,0.1,2.108602205172745,1.542982411905147,1.3415400363223744,13.055390264238214,0.36426971658934676,2,True,True,False,True,True,0.48420605239646963,0.338437,,,,2,2,,2.0,1.0
proxy_break_reverse_noisyx1_expanding,105,ols,119,0.1,1.9562251784584823,1.5971248994719447,1.2496664008521259,21.7552489936572,0.35385042597540006,2,True,True,False,True,True,0.11787440218700751,0.48946,2.0,2.0,2.0,2,2,,,
proxy_break_reverse_noisyx1_expanding,105,enet,119,0.1,1.9562251784584823,1.5727143937873291,1.2518478036503857,20.40208898732396,0.2966573119188535,2,True,True,False,True,True,0.5275896825609808,0.338317,,,2.0,2,2,2.0,,
proxy_break_reverse_noisyx1_expanding,105,rf,119,0.1,1.9562251784584823,1.5433866827926634,1.3144033083887363,14.836422845737905,0.2129812651391609,2,True,True,False,True,True,0.7133942076692728,0.150785,,,,2,2,,2.0,1.0
proxy_break_reverse_noisyx1_expanding,106,ols,119,0.01,1.6568035922432565,1.4184178453234635,1.2178306097109586,14.141618160956087,0.34683766695496415,2,True,True,False,True,True,0.684475411857342,0.182065,2.0,2.0,2.0,2,2,,,
proxy_break_reverse_noisyx1_expanding,106,enet,119,0.01,1.6568035922432565,1.4181855368527643,1.216026380533325,14.25477492656361,0.343288767709425,2,True,True,False,True,True,0.6842343743680512,0.17682,,,2.0,2,2,2.0,,
proxy_break_reverse_noisyx1_expanding,106,rf,119,0.01,1.6568035922432565,1.560679493173915,1.3100822677198105,16.056930750366377,0.3929613274916592,2,True,True,False,True,True,0.33796944404670215,0.375491,,,,2,1,,2.0,1.0
proxy_break_reverse_noisyx1_expanding,107,ols,119,0.1,2.7556498140049626,2.1792664213118793,1.466033104153184,32.72813778910711,0.6153938284268843,2,True,True,False,True,True,0.5799579104135233,0.26487,2.0,2.0,2.0,2,2,,,
proxy_break_reverse_noisyx1_expanding,107,enet,119,0.1,2.7556498140049626,2.090752773104638,1.4939883894998731,28.54303920011579,0.5128202277865475,2,True,True,False,True,True,0.5893899429408538,0.279651,,,2.0,2,2,2.0,,
proxy_break_reverse_noisyx1_expanding,107,rf,119,0.1,2.7556498140049626,1.811094696142382,1.5502944726521242,14.400142855354847,0.3840956538239263,2,True,True,False,True,True,0.7827790145590545,0.124832,,,,2,2,,2.0,1.0
proxy_break_reverse_noisyx1_expanding,108,ols,119,0.1,1.7850617294193172,1.468167839759298,1.0499289547553452,28.487130263834274,0.4881974566087864,2,True,True,False,True,True,0.38433255605344685,0.329163,2.0,2.0,2.0,2,2,,,
proxy_break_reverse_noisyx1_expanding,108,enet,119,0.1,1.7850617294193172,1.4493843128647632,1.0475536557548435,27.724231147202506,0.43094856268101284,2,True,True,False,True,True,0.3927879136516569,0.338564,,,2.0,2,2,2.0,,
proxy_break_reverse_noisyx1_expanding,108,rf,119,0.1,1.7850617294193172,1.4296991162149981,1.1354524015707805,20.58102374877378,0.36899273848813413,2,True,True,False,True,True,0.0902969884796141,0.500051,,,,2,2,,2.0,1.0
proxy_break_reverse_noisyx1_expanding,109,ols,119,0.1,1.9234596758971663,1.607518290507747,1.1917057530877846,25.866737559087106,0.43064667326353034,2,True,True,False,True,True,0.4334214035663638,0.327657,2.0,2.0,2.0,2,2,,,
proxy_break_reverse_noisyx1_expanding,109,enet,119,0.1,1.9234596758971663,1.6006612947115584,1.2098611153190069,24.414920300985617,0.3755333607880243,2,True,True,False,True,True,0.7019655354970906,0.172527,,,2.0,2,2,2.0,,
proxy_break_reverse_noisyx1_expanding,109,rf,119,0.1,1.9234596758971663,1.4720486811830822,1.2127378202285608,17.615644392012484,0.2691600171316718,2,True,True,False,True,True,0.10865208813834437,0.489174,,,,2,1,,2.0,1.0
proxy_break_reverse_noisyx1_expanding,110,ols,119,0.1,2.0381845169234665,1.548413738103045,1.2135700182545608,21.624951497698525,0.34379868719578666,2,True,True,False,True,True,0.20791790674637478,0.489652,2.0,2.0,2.0,2,2,,,
proxy_break_reverse_noisyx1_expanding,110,enet,119,0.1,2.0381845169234665,1.521688927861744,1.216532378224696,20.05380627076322,0.28754129224160324,2,True,True,False,True,True,0.21990676912146212,0.491331,,,2.0,2,2,2.0,,
proxy_break_reverse_noisyx1_expanding,110,rf,119,0.1,2.0381845169234665,1.6412279994707393,1.256945455352169,23.414330260176712,0.39425912964691634,2,True,True,False,True,True,0.4957826901602843,0.338462,,,,2,2,,2.0,1.0
proxy_break_reverse_noisyx1_expanding,111,ols,119,0.1,1.3245337353494695,1.222300505978275,1.0256341286037418,16.089854860784023,0.1849174941611495,2,True,True,False,True,True,-0.05024982242759224,0.609248,2.0,2.0,2.0,2,2,,,
proxy_break_reverse_noisyx1_expanding,111,enet,119,0.1,1.3245337353494695,1.203831868875897,1.021526343449418,15.143769669157429,0.15847336606324436,2,True,True,False,True,True,0.3899392221871383,0.354284,,,2.0,2,2,2.0,,
proxy_break_reverse_noisyx1_expanding,111,rf,119,0.1,1.3245337353494695,1.2261561351324315,1.1181378045762889,8.809508631172495,0.07346764162908496,2,True,False,False,True,True,0.20553213203699117,0.488781,,,,2,1,,1.0,1.0
proxy_break_reverse_noisyx1_expanding,112,ols,119,0.1,1.9392441494524635,1.50324412268385,1.1830077141384885,21.303020827623154,0.3595810637059684,2,True,True,False,True,True,0.48718334532680363,0.323445,2.0,2.0,2.0,2,2,,,
proxy_break_reverse_noisyx1_expanding,112,enet,119,0.1,1.9392441494524635,1.5358701815272104,1.2065788321581226,21.440050945038415,0.3355585965263561,2,True,True,False,True,True,0.48146854815344575,0.327371,,,2.0,2,2,2.0,,
proxy_break_reverse_noisyx1_expanding,112,rf,119,0.1,1.9392441494524635,1.3702042405657517,1.3166642598081322,3.9074452678319784,0.09585022592377733,2,True,False,False,True,True,0.5712995595800464,0.309866,,,,2,2,,2.0,2.0
proxy_break_reverse_noisyx1_expanding,113,ols,119,0.01,2.1437511206184605,1.6184050231762601,1.2598272598282363,22.15624384582568,0.3941305001242874,2,True,True,False,True,True,0.09887530777910725,0.494644,2.0,2.0,2.0,2,2,,,
proxy_break_reverse_noisyx1_expanding,113,enet,119,0.01,2.1437511206184605,1.6158311957394,1.2616700226833282,21.918203707783267,0.3870312395595985,2,True,True,False,True,True,0.1042614208461432,0.499772,,,2.0,2,2,2.0,,
proxy_break_reverse_noisyx1_expanding,113,rf,119,0.01,2.1437511206184605,1.3190693837586596,1.335118965125538,-1.2167351895580703,0.09443106566600906,2,False,False,False,True,False,0.45055389376093036,0.338287,,,,2,2,,2.0,1.0
proxy_break_reverse_noisyx1_expanding,114,ols,119,0.1,2.2516590395688523,1.8739394898605017,1.387968837336565,25.933102704405517,0.5586505515312147,2,True,True,False,True,True,0.0238855685863405,0.510583,2.0,2.0,2.0,2,2,,,
proxy_break_reverse_noisyx1_expanding,114,enet,119,0.1,2.2516590395688523,1.8558532010121789,1.3961315812902315,24.771443100737496,0.49158324491564015,2,True,True,False,True,True,0.04406994932662178,0.495727,,,2.0,2,2,2.0,,
proxy_break_reverse_noisyx1_expanding,114,rf,119,0.1,2.2516590395688523,1.8231136763430968,1.5089420768833282,17.23269390913416,0.4648691021399749,2,True,True,False,True,True,0.09512030118181558,0.499631,,,,2,1,,2.0,1.0
proxy_break_reverse_noisyx1_expanding,115,ols,119,0.1,1.6549094344430486,1.2971428735179207,1.0567523430704782,18.53230938204136,0.28242726702734655,2,True,True,False,True,True,0.03751345084227764,0.500748,2.0,2.0,2.0,2,2,,,
proxy_break_reverse_noisyx1_expanding,115,enet,119,0.1,1.6549094344430486,1.2871497894769317,1.0467435758486416,18.677407679644315,0.24972431621822502,2,True,True,False,True,True,0.06735092183744429,0.499815,,,2.0,2,2,2.0,,
proxy_break_reverse_noisyx1_expanding,115,rf,119,0.1,1.6549094344430486,1.3534015373280108,1.1894070534116572,12.11720833715943,0.19082818063136053,2,True,True,False,True,True,-0.036172383511570816,0.590943,,,,2,1,,2.0,2.0
